DEPT[M],WELL,CALIPER[MM],DEN[GM/CC],RES(64N),RES[OHM],SP[MV],GAM[API],LITHOLOGY DESCRIPTION,Formation,Classified
71,4,9.21659,2.40999,90.4,68.6001,-39.8,63.5004,SANDSTONE,Raniganj,Sandstone (SST)
72.1,4,9.21659,2.77997,71.0001,62.5002,-36.8,165.102,SANDY SHALE,Raniganj,ss
72.4,4,9.21659,2.74001,56.4003,72.8998,-36.1,129.802,SANDSTONE,Raniganj,Sandstone (SST)
72.7,4,9.21659,2.71,55.4,51.6,-36.2,185.501,SHALE,Raniganj,Grey Shale
73,4,9.21659,2.73,53.5,50.6002,-37.2,202.999,SANDY SHALE,Raniganj,ss
74,4,9.21659,2.68997,63.9999,67.5001,-37.4,164.196,SANDSTONE,Raniganj,Sandstone (SST)
74.6,4,9.21659,2.75998,83.1,76.5,-36.9,150.197,SANDSTONE,Raniganj,Sandstone (SST)
76.9,4,9.21659,2.52,96.1001,79.7,-39.9,129.297,SANDSTONE,Raniganj,Sandstone (SST)
77,4,9.21659,2.48999,96,80.4,-40.3,142.401,SANDY SHALE,Raniganj,ss
78.45,4,9.21659,2.72002,52.7,59.5,-37.2,170.699,SANDY SHALE,Raniganj,ss
80,4,9.21659,2.56002,67.4998,69.1,-39.8,136.7,SANDSTONE,Raniganj,Sandstone (SST)
83,4,8.91705,2.26,72.1999,62.3002,-41.6,72.2015,SANDSTONE,Raniganj,Sandstone (SST)
83.2,4,8.91705,2.33999,72.3,60.1001,-41.4,61.3998,SHALE,Raniganj,Grey Shale
84.5,4,8.91705,2.74,35.5,41.6,-39.6,213.899,SANDY SHALE,Raniganj,ss
84.8,4,8.91705,2.75001,36.8001,42.5002,-39.7,196,SANDSTONE,Raniganj,Sandstone (SST)
86,4,8.91705,2.74,51.3001,65.7006,-40,169.797,SANDY SHALE,Raniganj,ss
89,4,8.96313,2.78,49.3,58.2,-36.6,213.899,SANDY SHALE,Raniganj,ss
91.1,4,9.12442,2.77,48.6,54.2,-38.6,185.999,SANDY SHALE,Raniganj,ss
92,4,9.12442,2.78,49.1,64.1005,-39.1001,157.195,SANDSTONE,Raniganj,Sandstone (SST)
92.94,4,9.28571,2.66,62.0003,60.5002,-37.3,165.5,SANDSTONE,Raniganj,Sandstone (SST)
95,4,9.28571,2.71,58.0002,70.7005,-37.7,145.895,SANDY SHALE,Raniganj,ss
98,4,9.28571,2.66004,53.8003,54.7008,-37.7,139.796,SANDSTONE,Raniganj,Sandstone (SST)
101,4,9.28571,2.58,85.9999,75.4999,-40.8,142.002,SANDSTONE,Raniganj,Sandstone (SST)
104,4,9.28571,2.46,90.4004,76.0002,-39.0999,103.597,SANDSTONE,Raniganj,Sandstone (SST)
107,4,9.21659,2.69999,61.4998,66.4999,-38.1001,128.903,SANDSTONE,Raniganj,Sandstone (SST)
108.7,4,9.21659,2.45,77.9,68.7,-39.8002,102.699,SANDSTONE,Raniganj,Sandstone (SST)
110,4,9.12442,2.35999,67.4002,62.2001,-41.4,76.5987,SANDY SHALE,Raniganj,ss
113,4,9.07834,2.65001,138.401,96.5005,-41.9,100.998,SANDSTONE,Raniganj,Sandstone (SST)
116,4,9.07834,2.47,84.3002,67.3999,-40.8,73.9988,SANDSTONE,Raniganj,Sandstone (SST)
117.46,4,9.12442,2.46999,76.8,62.3,-42.6001,81.0005,SANDSTONE,Raniganj,Sandstone (SST)
119,4,9.12442,2.59001,74.0003,69.7005,-41.5,118.398,ALT SH/SST,Raniganj,alt
120.95,4,9.12442,2.73,48.5003,52.3,-41.9,181.999,SANDY SHALE,Raniganj,ss
122,4,9.12442,2.75,34.4001,39.1996,-41.2,216.498,SANDSTONE,Raniganj,Sandstone (SST)
125,4,9.17051,2.65001,113.798,91.3995,-46.3,100.603,SANDSTONE,Raniganj,Sandstone (SST)
128,4,9.21659,2.42001,82.0999,61.7997,-44.1001,132.807,SANDSTONE,Raniganj,Sandstone (SST)
128.33,4,9.21659,2.44002,80.5002,59.5999,-44.8,140.701,SANDY SHALE,Raniganj,ss
131,4,9.21659,2.70002,99.2986,80.5005,-47.4,95.8017,SANDSTONE,Raniganj,Sandstone (SST)
133.4,4,9.3318,2.75002,73.8001,64.2999,-46.4999,190.798,SANDSTONE,Raniganj,Sandstone (SST)
134,4,9.3318,2.39001,107.501,76,-45.3,89.197,SANDY SHALE,Raniganj,ss
136.5,4,9.49309,2.74,59.3004,56.6003,-44.6001,177.298,SANDY SHALE,Raniganj,ss
137,4,9.53917,2.71002,72.4004,68.6999,-45.3999,158.499,SANDSTONE,Raniganj,Sandstone (SST)
140,4,9.65438,2.76,69.3,67.3995,-41.7001,175.497,SANDY SHALE,Raniganj,ss
140.48,4,9.65438,2.73999,56.2,56.7008,-42.0002,214.701,SANDSTONE,Raniganj,Sandstone (SST)
141.24,4,9.65438,2.76002,65.2,63.4,-44.5,169,SANDY SHALE,Raniganj,ss
141.94,4,9.65438,2.80998,84.8,74.9,-44.8,159,SANDSTONE,Raniganj,Sandstone (SST)
143,4,9.65438,2.76,83.7011,76.2007,-45,161.999,SANDY SHALE,Raniganj,ss
143.17,4,9.65438,2.76998,90.9001,86.8992,-45.0001,141.102,SHALE,Raniganj,Grey Shale
143.42,4,9.65438,2.77001,87.7992,75.099,-44.6001,159.405,SANDY SHALE,Raniganj,ss
143.75,4,9.65438,2.75001,47.9011,68.0015,-44.5001,153.707,ALT SH/SST,Raniganj,alt
144.15,4,9.65438,2.71002,44.1,40,-44.3,228.7,SANDSTONE,Raniganj,Sandstone (SST)
145.49,4,9.65438,2.75002,54.1008,57.3002,-44.8001,194.695,SHALE,Raniganj,Grey Shale
145.75,4,9.65438,2.78998,53.9009,77.5986,-44.8,164.603,SANDY SHALE,Raniganj,ss
146,4,9.65438,2.76002,42.4,62.2973,-45,203,SANDSTONE,Raniganj,Sandstone (SST)
149,4,9.65438,2.61001,100,77.5,-49.9001,156.305,SANDSTONE,Raniganj,Sandstone (SST)
152,4,9.70046,2.53999,94.3995,72.4002,-50.8999,97.499,SANDSTONE,Raniganj,Sandstone (SST)
155,4,9.74654,2.54,96.9,72,-52.2,89.6944,SANDSTONE,Raniganj,Sandstone (SST)
155.14,4,9.74654,2.56001,96.5,73.7003,-52.0999,72.6986,SANDSTONE,Raniganj,Sandstone (SST)
155.78,4,9.74654,2.69999,103.3,75.0008,-49.4001,111.91,SANDY SHALE,Raniganj,ss
