DEPT[M],WELL,CALIPER[MM],DEN[GM/CC],RES(64N),RES[OHM],SP[MV],GAM[API],LITHOLOGY DESCRIPTION,Formation,Classified
158,4,9.74654,2.54002,114.502,90.5005,-49.5998,87.093,SANDSTONE,Raniganj,Sandstone (SST)
159.52,4,9.74654,2.51998,124.2,82.5,-50.2,89.2,SANDSTONE,Raniganj,Sandstone (SST)
160.6,4,9.74654,2.59998,112.3,78.5998,-50.1001,195.604,SHALE,Raniganj,Grey Shale
161,4,9.70046,2.62999,118.8,83.2003,-50.4001,155.495,SANDY SHALE,Raniganj,ss
164,4,9.42396,2.66001,87.9003,73.5003,-46.9,180.7,SANDSTONE,Raniganj,Sandstone (SST)
167,4,9.49309,2.66,79.6,65.8,-45.8002,178.099,SANDSTONE,Raniganj,Sandstone (SST)
170,4,9.49309,2.58,79.7001,67.7001,-45.4,99.3037,SANDSTONE,Raniganj,Sandstone (SST)
173,4,9.49309,2.56,110.4,75.8001,-50.6,94.8993,SANDSTONE,Raniganj,Sandstone (SST)
173.32,4,9.42396,2.53999,114.499,83.1996,-51.3999,67.9044,SANDSTONE,Raniganj,Sandstone (SST)
174.52,4,9.3318,2.52001,110.9,77.7,-51.3,82.3,SANDY SHALE,Raniganj,ss
174.64,4,9.3318,2.56,110,77.6001,-50.8,81.0069,SHALE,Raniganj,Grey Shale
174.86,4,9.3318,2.53999,112.3,80.0002,-49.7002,78.7944,SHALY COAL,Raniganj,coal
176,4,9.21659,2.71002,65.0005,61.801,-49.5999,226.898,SANDY SHALE,Raniganj,ss
177,4,9.17051,2.19993,77.5985,74.3008,-49.3,209.899,ALT SH/SST,Raniganj,alt
179,4,9.00922,2.60002,113,83.4007,-48.2,188.993,SANDSTONE,Raniganj,Sandstone (SST)
182,4,8.91705,2.52002,135.4,95.0002,-49.6001,75.709,SANDSTONE,Raniganj,Sandstone (SST)
185,4,8.91705,2.70001,140.099,99.2992,-48.3999,89.7056,ALT SH/SST,Raniganj,alt
186.7,4,8.96313,2.64,136.4,90.9,-47.6,116.3,SANDSTONE,Raniganj,Sandstone (SST)
188,4,8.96313,2.5,136.001,93.8003,-47.3999,112.299,ALT SH/SST,Raniganj,alt
189.65,4,8.96313,2.57,106.5,77.4,-46.3,252.2,ALT SH/SST,Raniganj,alt
190,4,8.96313,2.66002,108.101,83.0001,-46.7001,223.904,SHALE,Raniganj,Grey Shale
191,4,8.96313,2.63001,126,87.8002,-46.5,219.095,SANDY SHALE,Raniganj,ss
194,4,8.91705,2.51997,72.7001,75.9004,-47.3,204.306,SANDY SHALE,Raniganj,ss
195.2,4,8.91705,2.73,65.5,58.5,-47.2,274.4,ALT SH/SST,Raniganj,alt
197,4,8.96313,2.65999,147.7,96.6,-48.1,202.107,SANDSTONE,Raniganj,Sandstone (SST)
198.15,4,8.96313,2.6,214.9,117.6,-48.9,88.4,SANDSTONE,Raniganj,Sandstone (SST)
198.3,4,8.96313,2.61001,222.9,118.9,-48.8,84,SANDY SHALE,Raniganj,ss
198.55,4,8.96313,2.58,227.6,120.6,-48.9,88.8,SANDSTONE,Raniganj,Sandstone (SST)
200,4,8.96313,2.49001,192,102.9,-48.9,76.6013,SANDY SHALE,Raniganj,ss
200.5,4,8.96313,2.65,186.7,112.2,-47.9,139.793,SANDY SHALE,Raniganj,ss
201.03,4,8.96313,2.74002,128.501,89.4023,-47.3001,204.299,SANDSTONE,Raniganj,Sandstone (SST)
202.5,4,9.00922,2.48001,95.6998,79.7995,-46,220.806,SANDY SHALE,Raniganj,ss
203,4,9.07834,2.83997,115.801,85.7007,-45.2001,192.103,SANDSTONE,Raniganj,Sandstone (SST)
206,4,9.28571,2.74,130,89.4,-44.6999,139.303,SANDSTONE,Raniganj,Sandstone (SST)
207,4,9.3318,2.72,135.3,93.1996,-45.2,128.491,SANDSTONE,Raniganj,Sandstone (SST)
209,4,9.3318,2.61998,138.9,90.4001,-45.8001,126.697,ALT SH/SST,Raniganj,alt
212,4,9.3318,2.66,100.6,78.3002,-44.9,180.704,SANDSTONE,Raniganj,Sandstone (SST)
215,4,9.28571,2.54,123.6,84.9999,-46.5001,75.3027,SANDSTONE,Raniganj,Sandstone (SST)
218,4,9.21659,2.58001,97.5995,75.1998,-46.9999,83.605,SANDSTONE,Raniganj,Sandstone (SST)
219.28,4,9.17051,2.51999,96.8999,77.6,-47.3,75.6977,SANDSTONE,Raniganj,Sandstone (SST)
221,4,9.17051,2.5,100.2,75,-47.3,69.2037,SANDY SHALE,Raniganj,ss
221.24,4,9.17051,2.51,105.3,77.1998,-47.5,76.1983,SANDY SHALE,Raniganj,ss
221.34,4,9.17051,2.5,109.5,79,-47.4,65.3,SHALE,Raniganj,Grey Shale
221.66,4,9.17051,2.52999,117.7,90.4,-47.5,59.2,CARB SHALE,Raniganj,Carb Shale
221.78,4,9.17051,2.52,118,89.4995,-47.3,70.1056,SHALE,Raniganj,Grey Shale
224,4,9.17051,2.57002,77.1997,69.5005,-45.7,284.002,ALT SH/SST,Raniganj,alt
225.48,4,9.12442,2.68,112.7,83.1,-43.1,205.6,ALT SH/SST,Raniganj,alt
227,4,9.28571,2.78996,143.601,96.599,-44.4,124.103,SANDSTONE,Raniganj,Sandstone (SST)
230,4,9.28571,2.64999,140,94.2001,-46.3,111.002,SANDSTONE,Raniganj,Sandstone (SST)
231.4,4,9.21659,2.59998,145.301,94.7005,-47.6,97.498,SANDSTONE,Raniganj,Sandstone (SST)
233,4,9.21659,2.60999,123.9,85.7999,-48.3,106.2,SANDY SHALE,Raniganj,ss
234.5,4,9.12442,2.75001,104.9,74.4003,-48.8,193.402,SANDY SHALE,Raniganj,ss
235.65,4,9.12442,2.71998,108.3,82.7,-49.5,203,SHALE,Raniganj,Grey Shale
236,4,9.12442,2.82001,128.401,84.3004,-49.9,188.101,SANDY SHALE,Raniganj,ss
237.2,4,9.12442,2.56,259.7,129.5,-49.8,212.1,SANDY SHALE,Raniganj,ss
238.1,4,9.07834,2.15002,283.099,141.599,-49.8,163.7,COAL,Raniganj,coal
239,4,9.07834,2.62001,184.498,101.601,-47.8,176.796,SANDSTONE,Raniganj,Sandstone (SST)
242,4,9.07834,2.38264,108.7,77.3,-45.5001,116.302,SANDSTONE,Raniganj,Sandstone (SST)
243.5,4,9.07834,2.41565,102.501,75.4001,-46.3,142.392,SANDY SHALE,Raniganj,ss
243.8,4,9.07834,2.47433,110.1,78.8,-46.8,115.8,SHALE,Raniganj,Grey Shale
245,4,9.07834,2.49267,145.099,94.5998,-49.2,137.211,SANDSTONE,Raniganj,Sandstone (SST)
245.3,4,9.07834,2.56001,123.7,91,-49.4,195.1,SANDY SHALE,Raniganj,ss
246.1,4,9.07834,2.74,109.9,83.9005,-49.5,205.096,SHALE,Raniganj,Grey Shale
247,4,9.07834,2.34008,75.5,67.3,-48.7,233.5,SANDSTONE,Raniganj,Sandstone (SST)
248,4,9.07834,2.61998,97,76.4,-47.8,213.4,SANDY SHALE,Raniganj,ss
248.85,4,9.07834,1.77995,78.7,90.5,-46.5,246.1,SANDSTONE,Raniganj,Sandstone (SST)
250.1,4,9.12442,2.61,72.8006,60.5006,-46.7,240.883,SANDY SHALE,Raniganj,ss
251,4,9.17051,2.72002,68.6,61.7,-47.2,241.3,SANDSTONE,Raniganj,Sandstone (SST)
252.25,4,9.21659,2.64,67.1,57,-48,237.8,SANDSTONE,Raniganj,Sandstone (SST)
252.8,4,9.21659,2.66001,68.1,59,-47.9,233,SANDY SHALE,Raniganj,ss
253.1,4,9.28571,2.64999,81.4988,63.9994,-48.4,234.797,SANDSTONE,Raniganj,Sandstone (SST)
254,4,9.28571,2.87999,283.6,145.5,-49.3,62.2,SANDY SHALE,Raniganj,ss
255.92,4,9.37788,2.74998,93.5997,83.6015,-47.5,160.297,SANDY SHALE,Raniganj,ss
256.62,4,9.37788,2.7,81.9,71,-46.9,219.1,ALT SH/SST,Raniganj,alt
257,4,9.37788,2.68002,70.7,64.4,-47,238.3,SANDY SHALE,Raniganj,ss
260,4,9.49309,2.71,74.8,67.6,-48.1,220.8,SANDY SHALE,Raniganj,ss
262.3,4,9.74654,2.69,68.3,56.9,-47.7,237.8,SANDY SHALE,Raniganj,ss
263,4,9.79263,2.54988,76.5,73.1,-47.5,214.3,SANDSTONE,Raniganj,Sandstone (SST)
266,4,9.95392,2.68003,137.1,97.4,-49,141.5,ALT SH/SST,Raniganj,alt
267.22,4,9.95392,2.67,112.5,77.6,-48.5,203,ALT SH/SST,Raniganj,alt
267.72,4,9.95392,2.78,111.9,78.1,-48.1,201.2,SHALE,Raniganj,Grey Shale
268.2,4,9.95392,2.62,116.601,85.8,-47.5,201.703,SANDY SHALE,Raniganj,ss
269,4,9.86175,2.72003,112.7,74.8,-46.6,207.3,SANDSTONE,Raniganj,Sandstone (SST)
269.74,4,9.86175,2.75,102.3,79.1,-46.5,171.2,SANDSTONE,Raniganj,Sandstone (SST)
270.45,4,9.79263,2.79,98.3,82.2,-46.7,166.4,ALT SH/SST,Raniganj,alt
271.3,4,9.74654,2.67,103,78,-47.2,205.1,SANDY SHALE,Raniganj,ss
272,4,9.70046,2.60002,150.2,93,-47.3,185.5,SHALE,Raniganj,Grey Shale
272.11,4,9.70046,2.7,171.3,102.6,-47.4,140.7,SANDY SHALE,Raniganj,ss
273.41,4,9.58525,2.63003,116.204,81.8008,-46.4002,180.713,COAL,Raniganj,coal
273.61,4,9.58525,2.67,99.3,76.5,-46.2,215.6,SHALE,Raniganj,Grey Shale
273.91,4,9.49309,2.69,86.9009,65.9015,-46,239.095,SANDSTONE,Raniganj,Sandstone (SST)
274.11,4,9.49309,2.62,79.1,62.4,-46.1,257.4,SHALE,Raniganj,Grey Shale
274.28,4,9.49309,2.66,76,62.9,-46.1,251.3,CARB SHALE,Raniganj,Carb Shale
274.48,4,9.49309,2.65003,76.3998,62.8994,-46.0002,219.5,COAL,Raniganj,coal
275,4,9.49309,2.60998,87,69.9,-47.4,225.2,SANDSTONE,Raniganj,Sandstone (SST)
278,4,9.3318,1.18009,136.3,107.8,-43.7,98.4,SANDSTONE,Raniganj,Sandstone (SST)
281,4,9.3318,2.63998,137.7,92.1,-45,66.6,SANDSTONE,Raniganj,Sandstone (SST)
281.9,4,9.3318,2.58,123.5,80.1,-45.4,66.6,SANDSTONE,Raniganj,Sandstone (SST)
282.62,4,9.3318,2.75,119.9,81.1,-45.2,83.1,ALT SH/SST,Raniganj,alt
284,4,9.3318,2.60002,125.9,82,-44.2,76.2,SANDSTONE,Raniganj,Sandstone (SST)
285.35,4,9.3318,2.51,79.5014,66.4014,-43.4,157.586,SANDSTONE,Raniganj,Sandstone (SST)
285.6,4,9.3318,2.72998,69.3991,59.0002,-43.3,244.397,CARB SHALE,Raniganj,Carb Shale
285.8,4,9.3318,2.66,67.3,58.4,-43.3,243.5,SANDY SHALE,Raniganj,ss
287,4,9.3318,2.54,98.2,74.2,-43.4,114.9,SANDSTONE,Raniganj,Sandstone (SST)
287.95,4,9.3318,2.69,96.8,72,-43.2,125.4,ALT SH/SST,Raniganj,alt
290,4,9.17051,2.66,89.6,71.3,-40.9,168.5,SANDSTONE,Raniganj,Sandstone (SST)
291.2,4,9.17051,2.67003,95.7005,74.7995,-42,175.496,SANDSTONE,Raniganj,Sandstone (SST)
293,4,9.17051,2.67,111.2,76.8,-42.3,180.7,SANDSTONE,Raniganj,Sandstone (SST)
296,4,9.17051,2.72,95.2,74.5,-41.6,140.2,SANDSTONE,Raniganj,Sandstone (SST)
297.8,4,9.21659,2.67,115.3,80.6,-43,64.4,SANDSTONE,Raniganj,Sandstone (SST)
298.02,4,9.21659,2.74,163.4,108.4,-43.6,57,SHALY COAL,Raniganj,coal
298.55,4,9.21659,2.64,113,74.3,-43.8,81.4,COAL,Raniganj,coal
299,4,9.21659,2.52,79.2,60.4,-43.9,80.5,SANDY SHALE,Raniganj,ss
302,4,9.21659,1.45,357.9,155.1,-46.4,113.2,SANDY SHALE,Raniganj,ss
303.9,4,9.21659,2.84,81.6,62.9,-40.4,219.5,SANDY SHALE,Raniganj,ss
305,4,9.21659,2.62,89,68.5,-40.3,257.4,ALT SH/SST,Raniganj,alt
306.75,4,9.21659,2.67997,102.2,76.6,-41.8,229.1,SANDSTONE,Raniganj,Sandstone (SST)
308,4,9.21659,2.6,131,86.1,-41.9,182.5,SANDSTONE,Raniganj,Sandstone (SST)
308.32,4,9.21659,2.67,129.9,84.3,-42,179.9,SANDSTONE,Raniganj,Sandstone (SST)
308.86,4,9.21659,2.68,148.4,94.7,-42.8,116.3,ALT SH/SST,Raniganj,alt
309.41,4,9.21659,2.70002,157,95.6998,-43.1998,105.391,SANDY SHALE,Raniganj,ss
310.11,4,9.21659,2.78,177.3,107.2,-44.1,108.8,ALT SH/SST,Raniganj,alt
310.54,4,9.21659,2.62998,169.8,97,-44.6,125.4,SANDY SHALE,Raniganj,ss
310.7,4,9.21659,2.56002,168.5,98.5998,-45.1998,78.8107,SHALY COAL,Raniganj,coal
311,4,9.21659,2.57,174.5,94.3,-45,68.3,ALT SH/SST,Raniganj,alt
311.8,4,9.21659,2.61,214.8,109,-45.9,53.9,ALT SH/SST,Raniganj,alt
312.6,4,9.21659,2.68003,167.796,103.798,-44.5,111.508,SHALE,Raniganj,Grey Shale
312.9,4,9.21659,2.66,133.2,84.1,-43.6,209.9,SHALY COAL,Raniganj,coal
314,4,9.28571,2.68,125.6,83.1,-42.4,176.8,SANDY SHALE,Raniganj,ss
314.5,4,9.28571,1.91,115.9,94.9,-42.2,201.2,SHALE,Raniganj,Grey Shale
315.2,4,9.28571,2.59003,174.701,101.299,-41.3998,168.511,SANDSTONE,Raniganj,Sandstone (SST)
317,4,9.3318,2.75,161.7,90.6,-41.9,209.9,SANDSTONE,Raniganj,Sandstone (SST)
320,4,9.3318,2.67,128.9,86.5,-40.7,100.1,SANDSTONE,Raniganj,Sandstone (SST)
322.25,4,9.42396,2.55997,117.099,77.8,-43.8997,89.6992,SANDSTONE,Raniganj,Sandstone (SST)
323,4,9.42396,2.56,105.5,70.8,-43.8,89.7,SANDY SHALE,Raniganj,ss
324.27,4,9.49309,2.41003,110.2,68.6,-43.9,50,SANDY SHALE,Raniganj,ss
326,4,9.53917,2.58,206.7,109.5,-42.8,128.9,SANDSTONE,Raniganj,Sandstone (SST)
327.1,4,9.53917,2.65002,97.9,72.9,-41.8,212.5,SANDY SHALE,Raniganj,ss
327.57,4,9.53917,2.59,96.1,79.2,-41.5,170.3,SANDSTONE,Raniganj,Sandstone (SST)
328.27,4,9.53917,2.54009,79.4,62,-40.4,208.2,SANDY SHALE,Raniganj,ss
328.45,4,9.53917,2.79,86.8,63.5,-40.5,194.2,SANDSTONE,Raniganj,Sandstone (SST)
329,4,9.53917,2.66,101.5,73.1,-39.9,184.2,SANDY SHALE,Raniganj,ss
329.35,4,9.53917,2.66,132.7,85.1,-40.6,145.9,SANDY SHALE,Raniganj,ss
329.57,4,9.53917,2.8,146.4,98.9,-40.4,126.7,SHALE,Raniganj,Grey Shale
329.75,4,9.53917,2.76002,141.802,100.401,-40.2,119.296,SHALY COAL,Raniganj,coal
330.25,4,9.53917,2.70005,120.9,81.9994,-40.1,182.917,SANDY SHALE,Raniganj,ss
332,4,9.53917,2.57,63.1,58.7,-39.2,262.7,SANDSTONE,Raniganj,Sandstone (SST)
332.4,4,9.53917,2.74,64.4,56.1,-37.9,205.6,SANDY SHALE,Raniganj,ss
332.9,4,9.53917,2.81,68.5,55.7,-38.7,230.8,SANDSTONE,Raniganj,Sandstone (SST)
334,4,9.65438,3.1,100.6,76,-35.7,220,SHALE,Raniganj,Grey Shale
334.2,4,9.65438,2.69003,104.5,71.4002,-36.1998,254.786,SANDY SHALE,Raniganj,ss
334.7,4,9.65438,2.70995,103.7,72.0002,-37,205.095,ALT SH/SST,Raniganj,alt
335,4,9.65438,2.68,99.5,77.1,-37.2,162.4,SANDSTONE,Raniganj,Sandstone (SST)
338,4,9.70046,1.86,59,68.4,-37.1,241.3,SANDSTONE,Raniganj,Sandstone (SST)
341,4,9.79263,2.61,70.2,57.3,-38.6,130.6,SANDSTONE,Raniganj,Sandstone (SST)
343.3,4,9.79263,2.56,64.4,53.6,-40.8,79.2,SANDSTONE,Raniganj,Sandstone (SST)
343.7,4,9.86175,2.55005,65.5997,55.5002,-41.3,88.8073,SHALE,Raniganj,Grey Shale
344,4,9.86175,2.53,73.8,55.3,-40.7,121.5,SANDSTONE,Raniganj,Sandstone (SST)
347,4,9.86175,2.52,84.1,62.1,-40.4,70.1,SANDSTONE,Raniganj,Sandstone (SST)
350,4,9.65438,2.58,85,63.9,-38.4,103.2,ALT SH/SST,Raniganj,alt
351.04,4,9.65438,2.62003,169,115.6,-37.9,114.1,SANDY SHALE,Raniganj,ss
352.04,4,9.65438,2.67002,115.5,79.1,-36.6,183.8,CARB SHALE,Raniganj,Carb Shale
353,4,9.65438,2.68,117.9,80.8,-36.8,164.2,SANDY SHALE,Raniganj,ss
356,4,9.65438,2.32,150.4,102.5,-34.2,187.3,SANDSTONE,Raniganj,Sandstone (SST)
359,4,9.53917,2.69,78.6,65.6,-32.4,167.2,SANDSTONE,Raniganj,Sandstone (SST)
362,4,9.53917,2.56,65.1,52.2,-35.4,174.6,SANDSTONE,Raniganj,Sandstone (SST)
365,4,9.65438,2.62,74.4,66.5,-35.5,111.9,SANDSTONE,Raniganj,Sandstone (SST)
366.35,4,9.65438,2.78,80.4,71.2,-36.5,118,SANDSTONE,Raniganj,Sandstone (SST)
366.81,4,9.65438,2.53,66.2,53.8,-40.6,127.6,SANDY SHALE,Raniganj,ss
366.94,4,9.65438,2.53,64.1,53.7,-40.8,104.5,SHALE,Raniganj,Grey Shale
367.22,4,9.65438,2.56,61.7,54.4,-37.1,140.7,CARB SHALE,Raniganj,Carb Shale
367.44,4,9.65438,2.56,61.1,54.6,-38.2,92.7,SHALE,Raniganj,Grey Shale
367.67,4,9.65438,2.57,62.9,53.1,-36,87.5,CARB SHALE,Raniganj,Carb Shale
368,4,9.65438,2.56,63.3,55.7,-36.3,88.8,SANDY SHALE,Raniganj,ss
368.66,4,9.65438,2.63,74,57,-34.6,104.5,SANDSTONE,Raniganj,Sandstone (SST)
371,4,9.74654,2.66,68,56.7,-33.2,249.6,SANDY SHALE,Raniganj,ss
371.3,4,9.74654,2.6,67.4,51.8,-32.9,249.6,SANDSTONE,Raniganj,Sandstone (SST)
372.5,4,9.74654,2.8,82.4,60.2,-29.9,223.9,SANDY SHALE,Raniganj,ss
374,4,9.74654,2.73,60.1,54.3,-28.4,249.2,ALT SH/SST,Raniganj,alt
374.38,4,9.74654,2.78,60.6995,53.1,-29,216.519,SHALY COAL,Raniganj,coal
374.6,4,9.74654,2.70998,63.3,56.5,-29.3,183.8,SANDY SHALE,Raniganj,ss
377,4,9.74654,2.64,76.3,64.2,-30.8,193.8,SANDSTONE,Raniganj,Sandstone (SST)
380,4,9.65438,2.68,91.3,67.1,-27.8,133.2,SANDSTONE,Raniganj,Sandstone (SST)
382.1,4,9.65438,2.62998,90.7,65.9,-28.5,88.8,SANDSTONE,Raniganj,Sandstone (SST)
382.45,4,9.65438,2.6,77.9,62.4,-29.3,89.7,SHALE,Raniganj,Grey Shale
383,4,9.65438,2.61,71.8,55.2,-29.6,140.7,SANDY SHALE,Raniganj,ss
383.72,4,9.65438,2.66,86.6,67.4,-29.1,154.6,SANDSTONE,Raniganj,Sandstone (SST)
384.02,4,9.65438,2.62,97,72.1,-30.1,109.3,SANDY SHALE,Raniganj,ss
384.62,4,9.65438,2.82,99.4,75.4,-30,64.4,SHALE,Raniganj,Grey Shale
385.14,4,9.70046,2.56,83.7,63.7,-31,74.4,SANDY SHALE,Raniganj,ss
386,4,9.74654,2.56,80,59.9,-30.6,78.3,SANDSTONE,Raniganj,Sandstone (SST)
387.4,4,9.90783,2.9,79.3,62.2,-27.6,207.8,SANDSTONE,Raniganj,Sandstone (SST)
389,4,9.90783,2.72,70.3,60.5,-27,210.4,SANDY SHALE,Raniganj,ss
389.12,4,9.90783,2.65,67.2,61.6,-28.7,206.4,CARB SHALE,Raniganj,Carb Shale
389.24,4,9.90783,2.63,66.4,61.5,-31.6,191.6,SANDY SHALE,Raniganj,ss
389.45,4,9.90783,2.71,73.7,59.8,-26.7,225.6,CARB SHALE,Raniganj,Carb Shale
390.21,4,9.95392,2.71,90.6,64.8,-26.9,192.5,SANDSTONE,Raniganj,Sandstone (SST)
390.44,4,9.95392,2.73,99.8,77.5,-27.5,134.1,SHALE,Raniganj,Grey Shale
390.94,4,9.95392,2.65,105.1,78.5,-27.3,178.1,SANDY SHALE,Raniganj,ss
391.6,4,9.95392,2.7,106.2,75.7,-27.3,208.2,SHALE,Raniganj,Grey Shale
392,4,9.95392,2.74,95.2,75.5,-27.1,215.2,SANDSTONE,Raniganj,Sandstone (SST)
393.1,4,10,2.66997,85.8,66.5,-26.7,224.7,SANDSTONE,Raniganj,Sandstone (SST)
394.2,4,10,2.33002,63.1985,63.3995,-25.7,250.905,SHALE,Raniganj,Grey Shale
394.57,4,10,2.78,90.6,68.6,-25.3,179,SANDY SHALE,Raniganj,ss
395,4,10,2.73,83.5,65.6,-24.9,189,ALT SH/SST,Raniganj,alt
398,4,9.95392,2.63,91.1,59.3,-26.1,236.5,SANDSTONE,Raniganj,Sandstone (SST)
