DEPT[M],CALIPER[,DEN(CDL),RES(16N),RES(64N),RES[OHM],SANG[DEG,SP[MM],GAM(NAT)
2.6,0,0,2855.89,2892.51,3527.19,0.846209,-115.184,101.957
2.62,0,0,2855.89,2892.47,3527.19,0.846338,-115.184,104.082
2.64,0,0,2855.89,2892.47,3527.25,0.846338,-115.184,107.797
2.66,12.6644,0,2855.89,2892.56,3527.25,0.629383,-146.002,111.515
2.68,12.6756,0,2855.94,2892.56,3527.25,0.629191,-146.029,108.865
2.7,12.6752,0,2855.94,2892.56,3527.19,0.629191,-146.029,106.21
2.72,12.6752,0,2855.85,2892.47,3527.19,0.629191,-146.029,103.555
2.74,12.6756,0,2855.85,2892.47,3527.25,0.629191,-146.029,101.961
2.76,12.6756,0,2855.85,2892.47,3527.25,0.629191,-146.029,100.368
2.78,12.6682,0,2855.89,2892.47,3527.19,0.629191,-146.029,97.7133
2.8,12.6682,0,2855.89,2892.51,3527.19,0.629191,-146.029,95.0581
2.82,12.6682,0,2855.89,2892.51,3527.25,0.629191,-146.029,98.2393
2.84,12.6895,0,2855.89,2892.51,3527.25,0.629191,-146.029,101.426
2.86,12.6896,2.05777,2855.89,2892.47,3527.25,0.629191,-146.029,104.612
2.88,12.6882,2.05959,2855.89,2892.47,3527.19,0.46983,-146.029,103.553
2.9,12.6882,2.19458,2855.89,2892.47,3527.19,0.46969,-146.029,102.491
2.92,12.6845,2.19468,2855.89,2892.47,3527.19,0.289829,-146.029,100.368
2.94,12.6845,2.12988,2855.89,2892.56,3527.19,0.28967,-169.358,98.2439
2.96,12.6766,2.12981,2855.85,2892.56,3527.19,0.28967,-169.379,100.364
2.98,12.6766,2.14523,2855.85,2892.47,3527.19,0.28967,-169.379,102.488
3,12.665,2.14521,2855.94,2892.47,3527.19,0.28967,-169.379,104.613
3.02,12.665,2.14521,2855.94,2892.47,3527.25,0.28967,-169.379,104.084
3.04,12.6631,2.10521,2855.89,2892.47,3527.25,0.28967,-169.379,103.553
3.06,12.6631,2.10518,2855.89,2892.47,3527.19,0.28967,-169.379,104.614
3.08,12.6649,2.16334,2855.89,2380.5,3527.19,0.28967,-169.379,105.676
3.1,12.665,2.16339,2855.89,2380.05,3527.19,0.28967,-169.379,103.554
3.12,12.6608,2.05936,2855.89,747.559,3527.25,0.28967,-169.379,101.43
3.14,12.6608,2.05926,2855.85,746.118,3527.25,0.28967,-169.379,99.306
3.16,12.6589,2.0869,2855.85,746.118,3527.19,0.219613,-169.379,100.896
3.18,12.6589,2.08693,2855.89,312.345,3527.19,0.219551,-169.379,102.489
3.2,12.6589,2.17536,2855.89,311.962,3527.19,0.219551,-169.379,105.674
3.22,12.6612,2.1653,2855.89,241.336,3527.19,0.2284,-223.176,108.86
3.24,12.6612,2.0864,2855.89,241.275,3527.19,0.228407,-223.223,107.271
3.26,12.6612,2.10137,2855.89,110.882,3527.19,0.228407,-223.223,105.678
3.28,12.6612,2.18438,2855.89,110.768,3527.19,0.228407,-223.223,104.085
3.3,12.6622,2.17609,2855.89,110.768,3527.19,0.228407,-223.223,105.675
3.32,12.6622,2.18631,2855.89,64.8289,3527.19,0.228407,-223.223,107.268
3.34,12.6603,2.18539,2855.94,64.7889,3527.25,0.228407,-223.223,107.8
3.36,12.6603,2.14462,2855.94,64.5569,3527.25,0.228407,-223.223,108.331
3.38,12.6617,2.16251,2855.85,64.5567,3527.19,0.228407,-223.223,105.679
3.4,12.6617,2.16253,2855.85,66.8768,3527.19,0.228407,-223.223,101.963
3.42,12.6598,2.15254,2855.89,66.8789,3527.19,0.228407,-223.223,98.2453
3.44,12.6598,2.15253,2855.89,66.8789,3527.25,0.166489,-223.223,97.7115
3.46,12.6612,2.2284,2855.89,61.0321,3527.25,0.166434,-223.223,97.1804
3.48,12.6612,2.22847,2855.89,61.027,3527.19,0.0988073,-223.223,94.5271
3.5,12.6557,2.10134,2855.89,59.9597,3527.19,0.0987484,-274.49,91.8719
3.52,12.6557,2.10123,2815.67,59.9588,3527.19,0.0987484,-274.535,95.053
3.54,12.6557,2.13724,2815.64,57.4994,3527.25,0.0987484,-274.535,98.7699
3.56,12.6617,2.13728,2658.88,57.4973,3527.25,0.0987484,-274.535,102.487
3.58,12.6617,2.05868,2658.75,57.4973,3527.19,0.0987484,-274.535,98.7763
3.6,12.6631,2.03256,2483.4,49.7479,3527.19,0.0987484,-274.535,95.059
3.62,12.6631,2.14991,2483.24,49.7412,3527.19,0.0987484,-274.535,93.9947
3.64,12.677,2.1789,2483.24,46.6322,3527.19,0.0987484,-274.535,92.9326
3.66,12.677,2.12588,2233,46.6294,3527.19,0.0987484,-274.535,92.9317
3.68,12.6766,2.14396,2232.78,49.5992,3527.19,0.0987484,-274.535,91.3399
3.7,12.6766,2.22511,1857.66,49.6018,3527.19,0.0987484,-274.535,89.7468
3.72,12.6752,2.20089,1857.33,49.6018,3527.25,0.0733232,-274.535,87.0926
3.74,12.6752,2.20087,1288.67,52.5252,3527.25,0.0733008,-274.535,84.4374
3.76,12.6756,2.1839,1288.17,52.5278,3527.19,0.0733008,-274.535,84.435
3.78,12.6756,2.18389,1288.17,57.5393,3527.19,0.0887771,-259.435,84.435
3.8,12.6766,2.16318,844.383,57.5437,3480.79,0.0887906,-259.421,86.0268
3.82,12.6766,2.16316,843.996,62.6945,3480.75,0.0887906,-259.421,88.681
