DEPT[M],WELL,CALIPER[MM],DEN[GM/CC],RES(64N),RES[OHM],SP[MV],GAM[API],LITHOLOGY DESCRIPTION,Formation,Classified
24,1,12.6696,2.59367,4.50623,21.06,64.5311,77.532,"Fine graineded SST, brown",Raniganj,Sandstone (SST)
24.89,1,12.6886,2.30613,3.39083,22.2852,56.2742,79.126,"Fine graineded SST, brown",Raniganj,Sandstone (SST)
25.19,1,12.671,2.37167,3.2975,21.9935,56.3978,78.5932,Carb shale,Raniganj,Carb Shale
25.64,1,12.6645,2.32154,3.11173,22.5185,48.2233,74.8741,Grey Shale,Raniganj,Grey Shale
25.95,1,12.6589,1.97248,4.36571,22.5186,32.1008,109.922,Siltstone,Raniganj,Siltstone
26.7,1,12.6506,2.15749,3.57612,24.0353,48.1409,114.18,"Grey shale, clayey",Raniganj,Grey Shale
27,1,12.638,2.21274,3.94771,23.802,51.4972,98.774,Siltstone,Raniganj,Siltstone
28.05,1,12.6343,2.14455,3.57636,23.977,48.6763,121.075,"Silt stone with shale laminae, micaceous",Raniganj,Siltstone
28.65,1,12.6297,2.15362,3.06528,24.385,42.9521,142.317,Grey shale,Raniganj,Grey Shale
29.2,1,12.6297,2.17775,3.52956,25.552,38.0927,102.493,Carb shale/Dark Grey shale,Raniganj,dgs
29.41,1,12.6436,2.16818,2.69381,24.5606,35.7865,115.762,Dark Grey shale,Raniganj,dgs
30,1,12.7643,2.15456,3.39039,23.452,50.2617,130.638,Grey shale,Raniganj,Grey Shale
30.15,1,12.7812,2.09897,2.87967,23.5687,49.7882,133.821,Grey shale with thin coal laminae,Raniganj,Grey Shale
30.95,1,12.8145,1.77287,2.92599,21.8185,54.3799,86.0309,Silty SST with thin shale laminae,Raniganj,Sandstone (SST)
31.93,1,12.7931,2.3615,2.74018,86.6323,47.6879,97.7044,Shaly coal with thin bright coal band & pyritic in place,Raniganj,coal
32.69,1,12.7701,2.06242,1.71842,94.979,60.9895,146.036,"Silty SST with thin shale laminae, micaceous",Raniganj,Sandstone (SST)
33,1,14.6981,2.06671,1.53271,89.5492,54.9152,157.72,Shaly SST,Raniganj,Sandstone (SST)
35.12,1,15.4468,2.16084,24.29,84.0654,51.1883,180.559,"Silty SST with alternate shale laminae, micaceous",Raniganj,Sandstone (SST)
36,1,14.9377,2.27147,26.2407,111.486,45.5465,143.911,Fine graineded SST with shale laminae,Raniganj,Sandstone (SST)
39,1,12.6533,2.45771,12.1682,37.6282,33.954,53.634,"Very fine graineded SST with shale laminae, whitish",Raniganj,Sandstone (SST)
39.63,1,12.6334,2.4318,20.5281,35.528,29.836,108.861,"Very fine graineded SST, whitish",Raniganj,Sandstone (SST)
40.29,1,12.6366,2.36351,20.4352,34.303,34.2628,177.897,Shaly SST,Raniganj,Sandstone (SST)
40.59,1,12.638,2.28693,19.9708,34.1279,35.0247,198.608,Grey shale,Raniganj,Grey Shale
41.26,1,12.6338,2.39945,18.949,33.6613,42.021,110.458,Dark grey shale,Raniganj,dgs
41.64,1,12.6273,2.4792,18.4381,33.5445,42.6432,123.197,Siltstone with thin shale laminae,Raniganj,Siltstone
41.88,1,12.6259,2.38412,17.556,33.1361,41.5725,131.166,Shaly SST,Raniganj,Sandstone (SST)
42,1,12.6232,2.09163,17.5557,32.4944,41.5725,109.395,Dark grey shale,Raniganj,dgs
42.1,1,12.6255,2.16223,17.4164,32.1444,42.2314,114.705,Carb Shale,Raniganj,Carb Shale
42.25,1,12.6343,2.24329,17.0448,32.0862,42.2314,99.3077,Grey shale,Raniganj,Grey Shale
42.5,1,12.6352,2.09686,16.9519,31.4443,42.3549,65.3205,Coal/Shaly coal,Raniganj,coal
42.6,1,12.6343,2.16739,16.8591,31.0359,42.3549,78.5911,Grey shale,Raniganj,Grey Shale
43.08,1,12.6362,1.83375,16.2088,29.8692,42.3343,102.49,Shaly coal/ Coal,Raniganj,coal
43.43,1,12.6371,2.2416,15.4658,29.5774,41.1624,96.6515,Carb shale,Raniganj,Carb Shale
43.92,1,12.6441,2.31994,14.1189,30.4526,41.696,192.233,Dark grey shale,Raniganj,dgs
44.09,1,12.6464,2.0163,13.608,30.0442,39.9458,163.037,Shaly coal,Raniganj,coal
44.23,1,12.6454,2.02336,13.7013,29.8692,39.9458,140.728,Dark Grey Shale,Raniganj,dgs
45,1,12.6705,2.67465,13.6544,29.2275,42.3755,93.9954,"Fine graineded SST, whitish, with thin shale laminae",Raniganj,Sandstone (SST)
46.4,1,12.664,2.59126,11.6574,29.4608,41.5107,78.5967,"Fine graineded SST, whitish, with thin shale laminae",Raniganj,Sandstone (SST)
46.75,1,12.664,2.2992,11.4716,29.4025,40.5018,112.575,Dark grey shale,Raniganj,dgs
47.41,1,12.6626,1.61345,11.1934,29.8108,44.414,69.5705,Coal,Raniganj,coal
47.74,1,12.6714,1.83008,11.6114,34.0101,37.8662,69.5655,Grey Shale,Raniganj,Grey Shale
47.8,1,12.6742,2.01914,11.4253,34.9437,37.8662,77.528,Coal,Raniganj,coal
48,1,12.651,2.4243,10.7749,30.9776,37.7015,106.739,Shaly SST,Raniganj,Sandstone (SST)
49.07,1,12.6492,2.47392,10.0783,28.7024,36.6101,121.609,Shaly SST,Raniganj,Sandstone (SST)
49.47,1,12.6408,2.36538,9.10328,28.819,38.3192,108.862,"Grey shale,with 0.04cm coal band at bottom",Raniganj,Grey Shale
50.21,1,12.6343,1.86922,9.61384,29.2858,34.0157,78.0601,Coal,Raniganj,coal
50.45,1,12.6352,2.32416,9.33478,28.9941,33.1509,123.194,Grey shale,Raniganj,Grey Shale
50.51,1,12.6376,2.3836,9.66004,29.2272,34.2208,132.759,Shaly coal,Raniganj,coal
50.91,1,12.6278,1.90532,9.84588,30.978,36.6101,95.5884,Coal,Raniganj,coal
51,1,12.6311,1.82797,9.89243,30.6859,36.6101,86.0318,Shaly coal,Raniganj,coal
51.84,1,12.7133,1.80742,8.59208,31.0943,-6.09483,58.9424,"Coal, broken",Raniganj,coal
52.06,1,12.7278,2.14966,8.12791,45.3815,-53.165,108.329,Grey shale,Raniganj,Grey Shale
52.2,1,12.7544,1.82146,9.75189,80.7263,-55.0388,114.705,Coal,Raniganj,coal
52.39,1,12.7701,2.08205,8.68497,97.3665,-55.0388,149.22,Grey shale,Raniganj,Grey Shale
52.5,1,12.7627,1.92869,8.68497,86.4573,-42.6432,166.744,Shaly coal,Raniganj,coal
52.58,1,12.7545,1.92684,8.54564,76.3064,-42.6432,168.871,Coal,Raniganj,coal
53.49,1,12.8026,2.38891,8.63852,27.3606,21.5584,177.369,Shaly SST,Raniganj,Sandstone (SST)
54,1,12.819,2.29433,8.35986,27.7107,19.2728,169.934,Silty SST,Raniganj,Sandstone (SST)
57,1,12.798,2.48685,7.15233,49.8792,-31.7714,82.8407,"Fine graineded SST, whitish",Raniganj,Sandstone (SST)
60,1,12.773,2.51608,5.94479,35.0613,17.3167,81.7791,"Fine graineded SST, whitish, micaceous",Raniganj,Sandstone (SST)
63,1,12.5633,2.61347,5.75902,30.161,30.1653,106.212,"Fine graineded SST, whitish, micaceous with thin shale & coal laminae",Raniganj,Sandstone (SST)
66,1,12.6403,2.20037,5.43391,32.8446,29.8358,85.4963,"Fine graineded SST, whitish, micaceous",Raniganj,Sandstone (SST)
69,1,12.7598,2.01591,4.59792,42.5286,14.3105,53.6361,"Fine graineded SST, whitish",Raniganj,Sandstone (SST)
69.5,1,12.7014,2.01974,4.55148,63.5303,21.8597,91.8676,"Fine graineded SST, whitish",Raniganj,Sandstone (SST)
69.69,1,12.6608,1.71551,4.45873,85.7008,21.8673,112.049,"Grey shale, Silty",Raniganj,Grey Shale
69.87,1,12.638,2.21456,4.59785,51.2879,26.2325,117.891,Shaly Coal,Raniganj,coal
70.35,1,12.5294,2.53923,4.50504,29.6358,24.4205,116.828,Grey shale,Raniganj,Grey Shale
71.1,1,12.5628,2.5487,4.50504,25.5521,23.8851,104.614,Shaly SST,Raniganj,Sandstone (SST)
72,1,12.5744,2.39611,3.90127,23.5686,21.0642,68.5047,"Fine graineded SST, whitish",Raniganj,Sandstone (SST)
75,1,12.6371,2.60354,3.20461,21.7018,21.6202,92.9324,"Fine graineded SST, greyish white, micaceous",Raniganj,Sandstone (SST)
78,1,14.1897,2.51875,18.6704,120.993,35.9718,83.3722,"Fine graineded SST, greyish white, micaceous with shale laminae",Raniganj,Sandstone (SST)
81,1,17.7692,2.40837,26.1004,81.6152,34.9217,115.766,"Fine graineded SST, whitish",Raniganj,Sandstone (SST)
83.67,1,17.7227,2.33563,11.8039,105.999,30.8242,91.8659,"Fine graineded SST, whitish",Raniganj,Sandstone (SST)
84,1,17.6091,2.31662,16.8972,93.6378,31.1125,164.087,Shaly SST,Raniganj,Sandstone (SST)
84.23,1,17.5253,2.36849,26.5193,93.8044,30.7624,181.086,Sandy shale,Raniganj,ss
84.37,1,17.4696,2.27459,22.8503,96.6664,30.7624,175.245,Shaly SST,Raniganj,Sandstone (SST)
84.57,1,17.4017,2.28209,26.1013,94.6246,29.7741,199.662,Grey shale,Raniganj,Grey Shale
85.03,1,17.3287,2.13923,20.5278,53.2033,29.4446,245.341,Dark grey shale,Raniganj,dgs
85.16,1,17.2567,1.93294,13.6544,58.5716,29.4446,248.525,Shaly coal,Raniganj,coal
85.33,1,17.242,1.60935,-9.61384,87.0406,29.074,212.419,Coal,Raniganj,coal
85.74,1,17.2619,2.56678,8.73141,110.434,27.3238,159.309,Shaly SST,Raniganj,Sandstone (SST)
86.27,1,17.4523,2.4172,20.1101,98.0688,28.1474,144.444,"Fine graineded SST with shale laminae, whitish",Raniganj,Sandstone (SST)
87,1,17.6936,2.47269,40.9178,88.2654,30.4947,218.258,Shaly SST,Raniganj,Sandstone (SST)
87.05,1,17.7054,2.31774,48.1621,88.5574,30.4947,214.009,Shaly SST,Raniganj,Sandstone (SST)
90,1,17.7715,2.30908,29.9097,82.8403,25.7383,138.604,"Fine graineded SST with shale laminae, whitish",Raniganj,Sandstone (SST)
90.58,1,17.6943,2.36728,59.5774,108.327,24.6058,125.326,Alternate Shale & SST,Raniganj,alt
93,1,18.0426,2.32664,47.6976,100.167,29.527,125.324,"Fine graineded SST, whitish",Raniganj,Sandstone (SST)
94.14,1,17.6309,2.3674,35.3901,121.227,30.4947,117.359,"Fine graineded SST, whitish",Raniganj,Sandstone (SST)
94.94,1,17.3527,1.56277,19.367,139.078,26.1913,88.156,Coal,Raniganj,coal
95.18,1,17.2254,1.90696,3.39039,121.227,25.6765,99.838,Carb shale with thin shale band at middle,Raniganj,Carb Shale
96,1,16.8877,1.33225,15.7908,164.805,28.4768,82.8411,Coal,Raniganj,coal
96.24,1,16.8678,1.42658,15.3144,213.81,24.9147,75.936,Coal,Raniganj,coal
98.65,1,16.249,2.36311,18.0666,79.8067,25.3471,236.845,Grey shale,Raniganj,Grey Shale
99,1,16.1073,2.57558,7.4696,84.2987,25.7589,215.074,Sandy shale,Raniganj,ss
99.37,1,15.9638,2.40647,23.1754,85.757,25.7589,165.683,Sandy shale,Raniganj,ss
99.75,1,15.8804,2.49481,39.0591,97.7165,24.3793,131.171,Shaly SST with shale laminae,Raniganj,Sandstone (SST)
101.36,1,15.9878,2.39979,34.7855,74.1488,27.2002,218.791,Sandy shale,Raniganj,ss
101.64,1,16.0143,2.46315,20.8102,76.0724,26.459,226.219,Grey shale,Raniganj,Grey Shale
101.79,1,16.0361,2.04766,20.2959,76.1314,26.459,218.253,Shaly coal with carb shale band,Raniganj,coal
102,1,16.042,1.91011,10.0781,76.6541,26.5619,221.977,Grey shale,Raniganj,Grey Shale
102.31,1,16.0224,1.25811,8.27215,118.587,26.5825,158.25,Coal,Raniganj,coal
104.22,1,15.9486,2.37373,32.3727,81.8491,25.8412,220.38,Sandy shale,Raniganj,ss
105,1,15.7132,2.38068,31.8139,91.4743,26.9326,181.086,Shaly SST,Raniganj,Sandstone (SST)
106.08,1,15.3007,2.40961,25.4976,85.9331,25.7589,178.428,Shaly SST,Raniganj,Sandstone (SST)
106.89,1,14.8103,2.28193,30.7457,74.5563,24.5029,229.936,Alternate Shale & SST,Raniganj,alt
108,1,14.1157,2.56281,19.367,143.687,22.2173,110.46,"Fine graineded SST, whitish, with thin shale laminae",Raniganj,Sandstone (SST)
