DEPT[M],WELL,CALIPER[MM],DEN[GM/CC],RES(64N),RES[OHM],SP[MV],GAM[API],LITHOLOGY DESCRIPTION,Formation,Classified
108.1,1,14.1165,2.49956,20.4826,124.849,22.2173,89.2136,"Fine graineded SST, whitish",Raniganj,Sandstone (SST)
108.69,1,14.2678,2.47836,23.7799,90.596,25.4294,179.492,Shaly SST,Raniganj,Sandstone (SST)
109.02,1,14.3516,2.44747,16.3017,85.1773,22.9791,216.661,"Grey shale, friable at bottom",Raniganj,Grey Shale
109.66,1,14.5037,1.45773,13.5151,184.057,23.8234,93.4667,Coal,Raniganj,coal
111,1,14.8789,2.40798,39.7107,96.4907,24.0293,187.461,Shaly SST,Raniganj,Sandstone (SST)
111.51,1,14.9948,2.41077,32.2319,88.2074,25.2647,218.252,Sandy shale with shale laminae,Raniganj,ss
111.96,1,15.1214,2.3753,36.8747,91.6478,26.8708,199.67,Fine graineded SST with thin shale laminae,Raniganj,Sandstone (SST)
112.09,1,15.156,2.44297,37.0621,91.241,26.8708,209.765,Grey shale,Raniganj,Grey Shale
112.27,1,15.1995,2.37459,31.7228,85.701,25.5942,216.664,"Fine graineded SST with thin shale laminae, whitish",Raniganj,Sandstone (SST)
112.39,1,15.2275,2.34592,31.9997,80.7401,25.5942,234.718,Grey shale,Raniganj,Grey Shale
112.55,1,15.266,2.46116,23.3147,84.5904,26.356,220.384,"Fine graineded SST, whitish",Raniganj,Sandstone (SST)
112.62,1,15.2837,2.44047,22.3394,86.9823,26.356,212.414,Grey shale,Raniganj,Grey Shale
112.77,1,15.3155,2.29915,12.727,84.5287,26.5619,200.729,"Fine graineded SST, whitish",Raniganj,Sandstone (SST)
113.17,1,15.3667,1.43985,8.26797,97.9417,24.5029,201.801,Grey shale,Raniganj,Grey Shale
113.65,1,15.5033,2.28411,13.2834,105.242,23.1439,148.689,Coal,Raniganj,coal
114,1,15.8147,2.33593,17.4164,80.0442,23.288,195.951,"Fine graineded SST, whitish",Raniganj,Sandstone (SST)
117,1,17.4423,2.18593,29.0737,86.1066,24.9147,110.987,"Fine graineded SST, greyish white",Raniganj,Sandstone (SST)
120,1,17.2855,2.39747,28.1449,85.7578,23.6381,124.262,"Fine graineded SST, greyish white",Raniganj,Sandstone (SST)
123,1,18.466,2.35731,27.543,77.9399,21.1054,132.226,"Fine graineded SST, greyish white",Raniganj,Sandstone (SST)
126,1,18.2498,2.39169,27.4469,89.1992,20.8783,72.7526,"Fine graineded SST, greyish white, with coal laminae",Raniganj,Sandstone (SST)
129,1,18.1175,2.5755,20.7139,83.7727,17.955,104.079,"Fine graineded SST, whitish",Raniganj,Sandstone (SST)
131.74,1,17.9908,2.37136,23.5469,70.3553,19.0052,146.03,"Fine graineded SST, greyish white",Raniganj,Sandstone (SST)
132,1,17.921,2.42532,23.872,70.0643,17.7903,163.025,Shaly SST with shale laminae,Raniganj,Sandstone (SST)
132.41,1,17.7755,2.25032,13.9331,64.1725,18.8404,219.318,Sandy Shale,Raniganj,ss
132.59,1,17.6995,1.83673,9.70673,61.4885,18.8404,216.672,Grey shale,Raniganj,Grey Shale
132.8,1,17.6117,1.77041,5.06236,88.8418,18.1198,184.272,Coal,Raniganj,coal
132.91,1,17.5626,1.76406,5.75962,87.099,18.6547,173.121,Grey shale,Raniganj,Grey Shale
133.18,1,17.4836,1.65782,7.38437,115.451,18.5934,131.166,Coal,Raniganj,coal
133.38,1,17.4143,2.10387,6.92011,85.3571,18.5933,150.808,Carb shale with coal band,Raniganj,Carb Shale
134,1,17.2228,2.41322,20.3423,72.747,17.502,199.672,Sandy shale,Raniganj,ss
135,1,17.0482,2.39984,22.3867,79.515,20.4465,178.958,"Shaly SST, micaceous with shale laminae",Raniganj,Sandstone (SST)
138,1,16.2929,2.40137,21.2712,89.7241,20.1994,184.269,Alternate Shale & SST,Raniganj,alt
138.25,1,16.2062,2.12476,15.2335,85.8745,21.4349,178.426,Shaly SST,Raniganj,Sandstone (SST)
138.4,1,16.1955,1.86835,13.5616,76.2509,21.4349,180.551,Carb shale,Raniganj,Carb Shale
139.08,1,17.2929,2.42925,12.9578,79.6317,18.9846,183.204,Coal,Raniganj,coal
139.28,1,15.8058,2.40729,16.6268,88.8463,18.9846,178.427,Grey shale,Raniganj,Grey Shale
140.33,1,15.4579,1.59479,27.2179,90.891,21.9496,180.557,Shaly SST,Raniganj,Sandstone (SST)
140.68,1,15.5541,1.59514,18.6709,145.787,22.2997,125.326,Sandy shale,Raniganj,ss
140.76,1,15.4521,1.54876,18.6239,139.142,22.2997,141.255,Grey shale,Raniganj,Grey Shale
141,1,15.3099,1.39936,14.3514,143.862,23.6586,135.949,"Coal, pyritic",Raniganj,coal
142.6,1,14.8062,2.4112,36.5967,71.581,19.6846,217.74,Coal,Raniganj,coal
143,1,14.7039,2.54684,41.3824,97.7749,23.4527,177.368,Sandy shale,Raniganj,ss
144,1,14.5131,2.34571,35.8081,105.242,27.8591,147.096,"Fine graineded SST, greyish white, with shale laminae",Raniganj,Sandstone (SST)
147,1,13.3282,2.42861,32.8354,91.766,23.5763,155.062,"Fine graineded SST, greyish white",Raniganj,Sandstone (SST)
150,1,13.3221,2.3839,33.3001,102.5,22.8144,82.3121,"Fine graineded SST, greyish white, micaceous with coal laminae",Raniganj,Sandstone (SST)
150.38,1,13.3821,2.38095,30.0955,95.6747,20.9201,109.391,"Fine graineded SST, whitish",Raniganj,Sandstone (SST)
150.67,1,13.4306,2.39037,29.8628,97.7165,20.8377,106.739,Shaly SST,Raniganj,Sandstone (SST)
151.6,1,13.5683,2.3389,29.6311,90.3658,23.2674,115.765,"Fine graineded SST, whitish",Raniganj,Sandstone (SST)
152.95,1,13.8494,2.47814,30.0491,83.9482,23.2262,163.031,Shaly SST,Raniganj,Sandstone (SST)
153,1,13.8564,2.41051,29.9562,83.9487,23.2262,172.584,"Fine graineded SST, grey",Raniganj,Sandstone (SST)
155.4,1,13.9645,1.59951,15.9306,100.75,21.3731,202.855,"Fine graineded SST, greyish white",Raniganj,Sandstone (SST)
155.6,1,13.9653,2.46206,13.4222,124.318,20.9613,226.757,Coal,Raniganj,coal
156,1,13.9661,2.18205,13.8402,67.4972,21.2289,210.29,Grey shale,Raniganj,Grey Shale
156.18,1,13.9673,2.18393,13.19,71.3467,19.1287,212.943,Grey shale with thin coal laminae,Raniganj,Grey Shale
156.68,1,13.9529,2.42405,23.083,69.8892,20.3641,216.139,Grey shale  ,Raniganj,Grey Shale
156.73,1,13.9517,2.41084,23.3144,70.4135,20.3641,208.696,Grey shale,Raniganj,Grey Shale
157.71,1,13.8761,2.23129,23.2683,68.8976,24.3778,251.178,Alternate Shale & SST,Raniganj,alt
159,1,13.7532,2.13741,12.7721,80.04,22.8762,249.054,Grey shale with thin coal laminae,Raniganj,Grey Shale
159.37,1,13.7384,2.01295,11.9825,88.7851,20.0141,238.967,Grey shale,Raniganj,Grey Shale
159.63,1,13.7125,2.22017,12.9113,84.8852,19.8082,229.939,Carb shale,Raniganj,Carb Shale
159.85,1,13.6842,2.38725,15.6051,68.6647,21.0436,247.994,Grey shale,Raniganj,Grey Shale
160.09,1,13.6702,2.4017,19.7386,77.9982,21.0436,237.374,Sandy shale,Raniganj,ss
160.39,1,13.6283,2.44094,25.1725,85.1744,20.0141,203.385,Shaly SST,Raniganj,Sandstone (SST)
160.99,1,13.5345,2.45173,28.1446,85.1738,23.9675,177.901,Alternate Shale & SST,Raniganj,alt
161.25,1,13.4996,2.27694,28.4235,100.633,23.8028,134.355,Shaly SST,Raniganj,Sandstone (SST)
162,1,13.4158,2.36194,36.9227,106.347,27.5707,133.826,"Fine graineded SST, greyish white, with coal laminae",Raniganj,Sandstone (SST)
165,1,12.5256,2.60092,31.9997,95.2089,19.6023,101.958,"Fine graineded SST, greyish white, with coal laminae",Raniganj,Sandstone (SST)
168,1,13.059,2.35829,29.306,101.452,20.4259,121.075,"Fine graineded SST, greyish white",Raniganj,Sandstone (SST)
168.14,1,13.0894,2.46998,27.216,90.9493,20.4259,120.546,"Fine graineded SST, greyish white",Raniganj,Sandstone (SST)
169.06,1,13.3159,2.42657,23.2685,77.8232,18.4492,213.479,Shaly SST with shale laminae,Raniganj,Sandstone (SST)
169.19,1,13.3508,2.38189,23.9185,83.3633,18.4492,192.77,Sandy shale,Raniganj,ss
169.58,1,13.408,2.50918,22.6181,72.3977,16.7814,215.596,Shaly SST with shale laminae,Raniganj,Sandstone (SST)
169.87,1,13.4343,2.31006,20.3442,60.9668,18.3874,258.076,Sandy shale,Raniganj,ss
170.2,1,13.4441,1.99054,22.0143,57.9882,18.9846,242.154,"Grey shale, silty at bottom",Raniganj,Grey Shale
170.38,1,13.4499,2.48742,24.8464,75.305,17.2961,224.629,Dark Grey shale with coal laminae,Raniganj,dgs
170.53,1,13.4528,2.54436,25.4047,81.4985,17.2961,204.981,Sandy shale,Raniganj,ss
170.95,1,13.4544,2.45644,15.5595,78.059,18.9022,218.249,Shaly SST with shale laminae,Raniganj,Sandstone (SST)
171,1,13.454,2.32985,15.6979,74.384,18.9022,234.712,Grey shale,Raniganj,Grey Shale
171.35,1,13.4528,1.8724,18.9026,74.5563,21.023,193.308,"Grey shale, Sandy at middle",Raniganj,Grey Shale
171.49,1,13.4491,1.54369,19.5991,111.834,21.5584,116.832,Dark grey shale,Raniganj,dgs
173.52,1,13.5008,2.22268,27.9591,112.807,18.7581,103.546,"Coal, broken, friable, high bright coal band",Raniganj,coal
174,1,13.1729,2.42068,35.5759,80.3901,18.7787,209.228,Shaly SST,Raniganj,Sandstone (SST)
174.12,1,13.1638,2.52774,36.5976,74.3229,20.1788,211.884,Sandy shale,Raniganj,ss
175.86,1,13.0109,2.48166,29.9097,80.7401,24.4823,210.82,Shaly SST with shale laminae,Raniganj,Sandstone (SST)
176.66,1,12.9472,2.43462,26.8445,63.4137,22.8144,180.024,Sandy shale,Raniganj,ss
177,1,12.9102,2.39505,27.5875,75.8386,23.2674,200.205,Shaly SST,Raniganj,Sandstone (SST)
178.32,1,12.7947,2.546,19.5528,77.3564,22.7115,164.091,Sandy shale with sandstone laminae,Raniganj,Sandstone (SST)
178.72,1,12.7709,2.18392,17.8344,86.2245,21.9908,164.086,Alternate shale & SST,Raniganj,alt
178.85,1,12.7676,1.85403,18.9955,79.2839,21.9908,165.152,Dark Grey shale,Raniganj,dgs
178.95,1,12.7652,1.74616,18.7168,84.3571,20.8995,181.616,Coal,Raniganj,coal
179.08,1,12.7545,2.35561,19.1812,98.187,20.8995,198.074,Shaly coal with carb shale band,Raniganj,coal
179.54,1,12.7417,2.42758,21.039,74.8479,19.0052,233.66,Sandy shale,Raniganj,ss
180,1,12.7319,2.37888,41.8444,100.05,21.6613,196.484,Shaly SST with shale laminae,Raniganj,Sandstone (SST)
180.16,1,12.7269,2.4163,43.3784,99.4083,21.6613,193.818,Shaly SST with shale laminae,Raniganj,Sandstone (SST)
180.32,1,12.7224,2.57017,38.0374,91.3027,21.2289,195.422,Sandy shale,Raniganj,ss
180.75,1,12.7183,2.32222,28.61,109.501,26.2318,147.1,"Fine graineded SST, whitish, with thin shale laminae",Raniganj,Sandstone (SST)
181.52,1,12.7158,1.4023,16.0695,183.983,22.8968,114.18,Coal,Raniganj,coal
181.79,1,12.6464,1.35651,14.9084,231.54,23.1027,92.3986,Shaly coal,Raniganj,coal
182.11,1,12.6427,1.6015,17.1377,168.306,20.5083,106.736,Carb shale with shaly coal band,Raniganj,Carb Shale
182.3,1,12.6422,1.79967,15.4657,119.827,20.5083,148.154,Coal,Raniganj,coal
182.34,1,12.6422,1.94224,14.7691,113.293,20.5083,156.654,Grey shale,Raniganj,Grey Shale
183,1,12.6617,1.76702,16.8126,126.357,19.7052,153.469,Coal/Shaly coal with Carb shale band & pyritic at top,Raniganj,coal
183.03,1,12.6631,1.95998,16.8591,124.903,19.7052,161.961,Coal,Raniganj,coal
183.18,1,12.6645,2.18202,16.7662,91.6004,18.0786,184.267,Grey shale,Raniganj,Grey Shale
183.68,1,12.6654,2.26345,22.6638,63.4137,19.7042,234.718,Grey Shale  ,Raniganj,Grey Shale
184,1,12.6659,2.37865,27.3091,57.3465,21.8673,232.596,Grey shale,Raniganj,Grey Shale
185.64,1,12.6659,2.35557,24.9864,71.231,24.091,200.734,Shaly SST,Raniganj,Sandstone (SST)
186,1,12.7956,2.47878,24.5685,67.1473,24.4823,192.241,Sandy shale,Raniganj,ss
186.24,1,12.5475,2.46062,24.8474,73.9714,22.938,191.17,Shaly SST,Raniganj,Sandstone (SST)
189,1,12.4072,2.33428,31.1637,80.7983,24.2558,160.368,"Fine graineded SST, whitish, with thin shale laminae",Raniganj,Sandstone (SST)
192,1,12.2382,2.44406,35.4833,106.351,24.194,113.11,"Fine graineded SST, whitish, micaceous",Raniganj,Sandstone (SST)
195,1,12.1379,2.33253,52.8064,109.499,26.9531,132.229,"Very Fine graineded SST, whitish, with thin shale laminae, micaceous",Raniganj,Sandstone (SST)
198,1,12.1244,2.4685,67.6693,151.563,27.262,109.925,"Fine graineded SST, whitish, with thin shale & coal laminae & feldspar clast, micaceous, MGSST band at middle",Raniganj,Sandstone (SST)
199.07,1,12.2805,1.40935,16.3017,253.547,25.2441,63.1919,"Very fine graineded SST, whitish",Raniganj,Sandstone (SST)
199.52,1,12.3798,2.4159,24.0578,70.6523,20.0759,190.092,Coal,Raniganj,coal
199.57,1,12.3924,2.44289,25.1725,68.8974,20.0759,204.448,Carb shale,Raniganj,Carb Shale
199.82,1,12.4467,2.425,32.7417,73.2145,20.3641,225.159,Grey shale,Raniganj,Grey Shale
200.92,1,12.6311,2.30149,23.2222,71.056,23.288,253.304,Shaly SST,Raniganj,Sandstone (SST)
201,1,12.6431,2.41462,22.5718,66.5639,21.786,263.394,Grey shale,Raniganj,Grey Shale
201.2,1,12.6715,2.3513,19.6921,71.1126,21.7849,240.561,Grey shale,Raniganj,Grey Shale
201.89,1,12.7504,2.44517,20.7142,65.8639,22.4438,251.184,Sandy Shale,Raniganj,ss
202.24,1,12.7623,2.39938,21.3176,59.9156,21.3937,233.125,Grey shale,Raniganj,Grey Shale
202.87,1,12.7808,2.41039,23.0825,69.4808,23.3704,191.179,Sandy shale,Raniganj,ss
204,1,12.8026,2.41024,19.2277,77.9982,22.1349,180.022,Shaly SST,Raniganj,Sandstone (SST)
204.03,1,12.8046,2.52458,19.3205,75.198,22.1349,178.43,Shaly SST,Raniganj,Sandstone (SST)
205.02,1,12.9008,2.47342,11.9833,58.4549,22.0732,254.365,Sandy Shale,Raniganj,ss
205.93,1,12.9575,2.4894,12.3076,72.0477,18.9228,198.605,Grey shale with coal laminae at bottom,Raniganj,Grey Shale
206.2,1,12.9908,2.40295,13.608,63.7637,20.6936,237.374,Shaly SST,Raniganj,Sandstone (SST)
207,1,13.0475,2.45258,19.4601,58.745,20.2818,231.006,Sandy Shale,Raniganj,ss
207.31,1,13.073,2.44164,19.5062,70.5309,21.3937,210.825,Sandy shale,Raniganj,ss
207.96,1,12.999,2.40635,19.1347,59.7383,22.1555,248.523,Shaly sst,Raniganj,Sandstone (SST)
210,1,12.7356,2.35548,20.4352,68.1974,21.2495,169.403,"Fine graineded sandstone, whitish with shale laminae",Raniganj,Sandstone (SST)
213,1,12.3459,2.36154,22.2006,77.7065,24.3175,119.482,"Fine graineded sandstone, whitish, micaceous",Raniganj,Sandstone (SST)
214,1,12.2577,2.56039,25.4047,75.4897,21.2907,143.379,"Fine graineded sandstone , micaceous, shale streaks",Raniganj,Sandstone (SST)
