DEPT[M],CALP[CM],DENS[G/C,NGAMMA[A,RES[OHM-,SPR[OHM],SP[MV]
140.76,9.93498,2.64008,225.849,50.9498,76.4507,-121.7
140.78,9.94,2.62498,220.023,51.0498,76.1009,-121.7
140.8,9.94498,2.62502,213.9,51.1498,75.8003,-121.65
140.82,9.95498,2.62498,213.452,51.2498,75.5507,-121.6
140.84,9.96,2.63498,210.412,51.3,75.201,-121.6
140.86,9.96498,2.64498,206.457,51.3498,74.9005,-121.65
140.88,9.97,2.65,198.829,51.4,74.7005,-121.75
140.9,9.97498,2.65498,193.595,51.4,74.5502,-121.949
140.92,9.98,2.65502,195.795,51.4,74.5,-122.15
140.94,9.98498,2.64502,193.413,51.3502,74.5498,-122.349
140.96,9.99,2.64,188.805,51.3,74.6995,-122.6
140.98,9.99996,2.64,185.311,51.3,74.9493,-122.8
141,10.015,2.63502,187.883,51.2502,75.2991,-123.049
141.02,10.02,2.63,191.205,51.2,75.7492,-123.25
141.04,10.02,2.63,189.251,51.1502,76.2489,-123.4
141.06,10.02,2.62502,187.059,51.1,76.6989,-123.599
141.08,10.02,2.62,183.358,51.1498,77.1489,-123.849
141.1,10.02,2.62,182.894,51.2,77.5991,-123.9
141.12,10.015,2.62996,179.671,51.2498,77.9493,-123.651
141.14,10,2.64996,176.598,51.3498,78.2493,-123.351
141.16,9.99,2.66,177.452,51.4997,78.5495,-123.1
141.18,9.98502,2.66498,175.307,51.6498,78.8493,-123
141.2,9.98,2.66004,174,51.8493,79.0994,-122.801
141.22,9.97502,2.65,170.713,52.0995,79.3992,-122.55
141.24,9.97,2.65,167.449,52.2995,79.7493,-122.45
141.26,9.95506,2.65498,167.053,52.5493,80.0493,-122.35
141.28,9.93502,2.65502,164.856,52.7995,80.3493,-122.3
141.3,9.92003,2.66495,163.101,53.0495,80.5997,-122.3
141.32,9.91,2.67502,161.606,53.2995,80.8991,-122.4
141.34,9.90501,2.66502,160.699,53.5492,81.2492,-122.649
141.36,9.9,2.65004,160.253,53.7995,81.5991,-122.9
141.38,9.9,2.64,162.635,53.9995,81.9991,-123.1
141.4,9.9,2.62008,162.864,54.2493,82.3991,-123.25
141.42,9.9,2.59004,157.86,54.4995,82.7991,-123.35
141.44,9.90498,2.58498,155.053,54.6996,83.1992,-123.4
141.46,9.91,2.59,153.553,54.8995,83.5493,-123.5
141.48,9.91498,2.59,156.334,55.0995,83.8991,-123.65
141.5,9.92,2.59,151.131,55.2995,84.2493,-123.8
141.52,9.92,2.59,141.303,55.4498,84.5994,-124
141.54,9.91502,2.59498,137.164,55.5995,84.9991,-124.2
141.56,9.90004,2.60996,132.609,55.7995,85.3989,-124.35
141.58,9.88502,2.62,129.358,55.9995,85.7493,-124.5
141.6,9.88,2.62,121.279,56.1498,86.0493,-124.7
141.62,9.88,2.62498,115.796,56.2995,86.2995,-124.9
141.64,9.88,2.63498,114.508,56.4995,86.4497,-125.1
141.66,9.88,2.64,114.493,56.6498,86.5498,-125.25
141.68,9.87502,2.64,117.795,56.7498,86.6,-125.3
141.7,9.87,2.64,119.098,56.8995,86.6,-125.3
141.72,9.87,2.64,118.652,57.0497,86.6996,-125.2
141.74,9.87,2.64,118.647,57.1498,86.8995,-124.951
141.76,9.87,2.64498,120.843,57.2995,87.1991,-124.551
141.78,9.87,2.65498,121.502,57.4995,87.6489,-124.101
141.8,9.87,2.66997,118.008,57.7495,88.2988,-123.75
141.82,9.87498,2.68997,112.563,57.9995,89.0982,-123.351
141.84,9.87502,2.70498,111.245,58.1995,89.8979,-122.901
141.86,9.87,2.71498,109.76,58.3995,90.6982,-122.551
141.88,9.87,2.72,105.157,58.5498,91.2991,-122.35
141.9,9.87,2.73494,101.012,58.6498,91.5,-122.3
141.92,9.87,2.75996,96.0111,58.7,91.4004,-122.25
141.94,9.87498,2.77,94.6966,58.7,91.0009,-122.2
141.96,9.88,2.77,95.9992,58.7,90.4011,-122.3
141.98,9.88,2.76502,98.7881,58.7,89.8014,-122.5
142,9.88,2.76,100.352,58.7,89.3508,-122.65
142.02,9.88,2.76,101.693,58.7498,89.2,-122.7
142.04,9.88,2.74008,105.792,58.8995,89.3493,-122.65
142.06,9.88,2.71502,108.843,59.0995,89.6492,-122.55
142.08,9.88,2.69506,109.502,59.2995,89.9991,-122.5
142.1,9.88,2.68,110.791,59.4498,90.2498,-122.45
142.12,9.88498,2.67004,116.035,59.5498,90.2502,-122.3
142.14,9.89,2.66,116.907,59.6,90.0008,-122.2
142.16,9.89,2.66,114.301,59.5003,89.5009,-122.3
142.18,9.89,2.65004,115.394,59.3502,88.8018,-122.549
142.2,9.89,2.62506,119.934,59.2005,88.0021,-122.799
142.22,9.89,2.61,122.102,59.0005,87.2018,-123
142.24,9.89,2.61,117.566,58.9,86.5014,-123.299
142.26,9.89,2.59008,117.136,58.9,85.9511,-123.699
142.28,9.89,2.56502,124.083,58.9498,85.5508,-124.049
142.3,9.89,2.56,128.249,59.1495,85.3502,-124.3
142.32,9.89,2.55502,126.509,59.3498,85.3,-124.5
142.34,9.89,2.55498,123.207,59.4995,85.3995,-124.699
142.36,9.89,2.56,127.131,59.5999,85.6494,-124.9
142.38,9.89,2.56,133.495,59.6,85.9493,-125
142.4,9.89,2.57494,135.645,59.5502,86.3489,-125
142.42,9.89,2.60494,134.308,59.4004,86.8489,-125.05
142.44,9.89,2.62498,134.293,59.2003,87.2994,-125.15
142.46,9.89,2.63,139.539,58.9506,87.6992,-125.3
142.48,9.89,2.63498,140.857,58.7005,88.0991,-125.4
142.5,9.89,2.63502,142.34,58.5503,88.3497,-125.45
142.52,9.89,2.63,140.665,58.5,88.4,-125.55
142.54,9.89,2.61506,143.266,58.5498,88.3005,-125.65
142.56,9.89,2.59502,149.151,58.6497,88.001,-125.75
142.58,9.89,2.57506,143.716,58.8494,87.5511,-125.8
142.6,9.89,2.56,141.094,59.1493,87.0014,-125.8
142.62,9.89,2.55004,140.011,59.4493,86.4014,-125.8
142.64,9.89498,2.54,143.23,59.6995,85.901,-125.8
142.66,9.9,2.54,145.859,59.8997,85.5006,-125.8
142.68,9.9,2.54498,139.764,60.0995,85.2502,-125.75
142.7,9.9,2.55996,139.091,60.1999,85.2498,-125.7
142.72,9.9,2.57498,142.594,60.2,85.3498,-125.65
142.74,9.9,2.58,143.252,60.1502,85.5991,-125.55
142.76,9.9,2.58,141.058,60.1,85.9991,-125.45
142.78,9.9,2.58498,138.903,60.1,86.4489,-125.35
142.8,9.9,2.59,140.893,60.1,86.9991,-125.25
142.82,9.9,2.59498,143.698,60.1995,87.5986,-125.1
142.84,9.89501,2.59502,140.665,60.3995,88.1984,-124.95
142.86,9.89,2.59996,135.659,60.6992,88.7488,-124.85
142.88,9.89,2.61,132.607,61.0991,89.2489,-124.75
142.9,9.89,2.61,126.322,61.4991,89.6493,-124.65
142.92,9.89,2.60502,120.607,61.8991,89.9493,-124.55
142.94,9.89,2.6,118.205,62.2994,90.1498,-124.5
142.96,9.89,2.6,116.899,62.6992,90.1502,-124.45
142.98,9.88502,2.6,115.159,63.0991,90.1,-124.4
143,9.88,2.60498,109.715,63.4991,90.0502,-124.4
143.02,9.88,2.61,105.801,63.8994,89.9003,-124.4
143.04,9.87502,2.60004,104.504,64.2493,89.7005,-124.45
143.06,9.87,2.58004,102.755,64.599,89.5503,-124.5
143.08,9.87,2.56502,99.0615,64.9991,89.4004,-124.55
143.1,9.87,2.56,98.3899,65.3991,89.2502,-124.7
143.12,9.87,2.55004,101.247,65.7493,89.2,-124.85
143.14,9.87,2.53502,101.9,66.0493,89.2,-124.95
143.16,9.87,2.53,99.956,66.2997,89.1502,-125
143.18,9.87,2.52502,95.163,66.4498,89.1498,-125.05
143.2,9.87,2.52,95.1391,66.5497,89.2,-125.15
143.22,9.87,2.52,97.1012,66.6,89.2,-125.2
143.24,9.87,2.52,98.1411,66.6,89.2498,-125.2
143.26,9.86502,2.52498,98.8059,66.6,89.3498,-125.25
143.28,9.86,2.53,98.5968,66.6,89.4498,-125.3
143.3,9.86,2.53,103.588,66.6,89.5498,-125.3
143.32,9.86,2.52502,107.749,66.5502,89.6995,-125.35
143.34,9.86,2.52,107.552,66.5,89.8995,-125.4
143.36,9.86,2.52996,102.966,66.5,90.0497,-125.45
143.38,9.86,2.54,100.741,66.5,90.1995,-125.55
143.4,9.86498,2.54996,105.736,66.5,90.3995,-125.6
143.42,9.86502,2.56996,109.047,66.5,90.5497,-125.65
143.44,9.86,2.58,105.811,66.5498,90.6997,-125.75
143.46,9.86,2.58,99.0649,66.6498,90.9493,-125.8
143.48,9.86498,2.58,98.5897,66.7497,91.2492,-125.85
143.5,9.87,2.58498,103.589,66.8996,91.5991,-125.9
143.52,9.87,2.59,101.912,67.0498,91.9994,-125.9
143.54,9.86502,2.59996,97.1041,67.1995,92.4489,-125.95
143.56,9.86,2.60502,96.6486,67.3995,92.8989,-126
143.58,9.86498,2.60498,100.586,67.6494,93.2493,-126
143.6,9.87,2.61,104.498,67.8995,93.4995,-126
143.62,9.87,2.60502,100.122,68.1493,93.6498,-126
143.64,9.87,2.59004,95.5527,68.4493,93.7,-126
143.66,9.87,2.58,95.152,68.7495,93.6502,-125.95
143.68,9.87,2.58498,97.9342,69.0493,93.5502,-125.9
143.7,9.87,2.59996,100.75,69.3492,93.5,-125.9
143.72,9.87,2.61,99.0545,69.6991,93.5498,-125.9
143.74,9.87,2.61,99.4931,69.9995,93.6498,-125.9
143.76,9.87,2.61996,100.154,70.2493,93.7995,-125.9
143.78,9.87,2.63996,100.994,70.5493,94.0493,-125.9
143.8,9.87,2.65,99.6593,70.7997,94.3495,-125.95
143.82,9.87,2.64003,96.8489,70.9498,94.5995,-126
143.84,9.87,2.62003,98.3939,71.0497,94.8492,-126
143.86,9.87,2.60004,100.994,71.1,95.1493,-126
143.88,9.87,2.59,101.852,71.0502,95.3995,-126.05
143.9,9.87,2.57506,98.364,70.9502,95.6493,-126.1
143.92,9.87,2.56498,95.9499,70.8004,95.9991,-126.1
143.94,9.87,2.57,97.0486,70.6003,96.4492,-126.1
143.96,9.87,2.57,98.3959,70.4005,96.9489,-126.1
143.98,9.87,2.57498,97.1094,70.1508,97.5482,-126.1
144,9.87,2.58498,94.9017,69.9005,98.2484,-126.05
144.02,9.87,2.59,97.7413,69.6505,98.9489,-126
144.04,9.87,2.58004,100.152,69.3507,99.5986,-125.95
144.06,9.87,2.56502,99.5013,69.0508,100.248,-125.9
144.08,9.87,2.56,96.0127,68.7507,100.899,-125.85
144.1,9.87,2.56,93.1479,68.4507,101.449,-125.75
144.12,9.87,2.56996,95.989,68.1507,101.899,-125.7
144.14,9.87,2.58498,94.9115,67.8507,102.249,-125.7
144.16,9.87,2.59,92.048,67.5505,102.55,-125.7
144.18,9.87,2.60494,91.605,67.2009,102.75,-125.75
144.2,9.87,2.62498,91.3967,66.8011,102.85,-125.8
144.22,9.87,2.63996,94.4411,66.3511,102.9,-125.85
144.24,9.87,2.65,97.9438,65.8511,102.8,-125.9
144.26,9.87,2.66494,102.734,65.3511,102.6,-125.95
144.28,9.87,2.68996,109.485,64.8511,102.351,-126.05
144.3,9.87,2.7,114.943,64.3508,102.001,-126.15
144.32,9.87,2.70497,121.878,63.9009,101.551,-126.25
144.34,9.87,2.69505,129.931,63.5011,100.952,-126.3
144.36,9.87,2.68,134.542,63.1507,100.102,-126.3
144.38,9.87,2.68,139.334,62.8507,99.0027,-126.35
144.4,9.87498,2.6551,147.13,62.5507,97.6534,-126.35
144.42,9.88,2.62004,159.317,62.3005,95.9542,-126.3
144.44,9.88,2.60003,167.649,62.1003,94.0031,-126.3
144.46,9.88,2.59,169.643,61.9005,91.9548,-126.25
144.48,9.88,2.57506,172.493,61.7503,89.8058,-126.2
144.5,9.88,2.56,183.313,61.6004,87.7047,-126.1
144.52,9.88,2.56,193.997,61.4502,85.9024,-126
144.54,9.88498,2.55004,192.064,61.3502,84.4032,-125.95
144.56,9.89,2.53502,195.522,61.2503,83.3024,-125.9
144.58,9.89,2.52502,204.237,61.1502,82.6513,-125.9
144.6,9.89,2.52,218.146,61.1,82.3005,-125.85
144.62,9.89498,2.51502,222.385,61.1,82.2498,-125.85
144.64,9.9,2.51498,214.307,61.0502,82.4494,-125.9
144.66,9.9,2.52,216.941,61,82.7994,-125.95
144.68,9.9,2.53494,216.964,60.9502,83.2489,-126
144.7,9.9,2.55996,217.585,60.9,83.7487,-126
144.72,9.9,2.57,211.734,60.9,84.2987,-126
144.74,9.9,2.57,203.394,60.9,84.8489,-126.05
144.76,9.9,2.57996,202.311,60.9,85.3986,-126.05
144.78,9.9,2.59996,197.511,60.9498,85.9488,-126
144.8,9.9,2.61,196.845,61.0498,86.4492,-126
144.82,9.9,2.62495,192.08,61.1,86.8991,-125.95
144.84,9.9,2.64997,185.754,61.0502,87.1994,-125.85
144.86,9.9,2.66498,183.609,60.9502,87.3995,-125.75
144.88,9.9,2.67,185.331,60.7507,87.4502,-125.7
144.9,9.9,2.67996,189.898,60.3511,87.3502,-125.65
144.92,9.9,2.69498,187.51,59.8013,87.2004,-125.6
144.94,9.9,2.69003,188.139,59.1511,86.9505,-125.6
144.96,9.9,2.68,190.754,58.3521,86.6507,-125.55
144.98,9.9,2.67502,195.525,57.5022,86.3508,-125.5
145,9.9,2.67,197.311,56.652,86.0507,-125.45
145.02,9.9,2.67,194.247,55.7514,85.7006,-125.4
145.04,9.90498,2.66502,198.136,54.8521,85.2511,-125.4
145.06,9.91,2.65004,196.868,54.0022,84.7016,-125.35
145.08,9.91,2.63004,198.58,53.2018,83.952,-125.3
145.1,9.91,2.62,200.569,52.3521,82.9525,-125.3
145.12,9.91,2.58513,199.685,51.3525,81.8027,-125.3
145.14,9.91,2.52011,205.139,50.2027,80.6027,-125.3
145.16,9.91,2.49,204.509,48.9021,79.4018,-125.3
145.18,9.91,2.44019,208.419,47.4534,78.3023,-125.3
145.2,9.91,2.3651,209.969,45.954,77.4022,-125.35
145.22,9.91498,2.3151,209.486,44.5032,76.7015,-125.45
145.24,9.92,2.29,217.535,43.1032,76.2507,-125.55
145.26,9.92498,2.24019,222.542,41.8027,75.9507,-125.65
145.28,9.98479,2.15513,228.632,40.7522,75.7005,-125.75
145.3,10.04,2.12,226.52,39.9511,75.6,-125.8
145.32,10.3789,2.04029,225.823,39.4009,75.6,-125.8
145.34,11.0141,1.94006,230.401,39.1504,75.6498,-125.8
145.36,11.5341,1.89011,224.967,39.1,75.7,-125.8
145.38,11.76,1.86,219.058,39.1995,75.7498,-125.75
145.4,11.5159,1.86498,212.771,39.4493,75.7502,-125.6
145.42,11.0359,1.88992,212.736,39.7991,75.5506,-125.4
145.44,10.6106,1.92495,214.708,40.1994,75.2006,-125.25
145.46,10.42,1.94,206.924,40.6489,74.7014,-125.15
145.48,10.166,1.99479,201.903,41.1984,74.1514,-125
145.5,9.89008,2.10977,202.947,41.7986,73.6013,-124.85
145.52,9.87,2.17,205.545,42.5486,73.0508,-124.75
145.54,9.87,2.33437,209.042,43.4479,72.6009,-124.7
145.56,9.87,2.58468,210.6,44.4471,72.2508,-124.7
145.58,9.87,2.72479,216.477,45.5475,72.0005,-124.7
145.6,9.87,2.78,223.894,46.5977,71.8502,-124.7
145.62,9.87,2.82981,222.363,47.5977,71.7502,-124.7
145.64,9.87,2.89992,219.054,48.4981,71.7498,-124.75
145.66,9.87,2.92,217.952,49.0994,71.8498,-124.8
145.68,9.87,2.91004,216.454,49.3995,72.0493,-124.8
145.7,9.87,2.86513,210.624,49.4999,72.399,-124.8
145.72,9.87,2.82502,204.956,49.4004,72.8489,-124.75
145.74,9.87,2.82,201.662,49.1507,73.3489,-124.7
145.76,9.87,2.77517,196.213,48.8009,73.8489,-124.65
145.78,9.87,2.7051,187.525,48.3511,74.3987,-124.55
145.8,9.87,2.68,177.463,47.9006,74.8994,-124.5
145.82,9.87,2.65508,174.594,47.5009,75.2991,-124.45
145.84,9.87,2.61505,173.56,47.0513,75.5994,-124.35
145.86,9.87,2.60498,169.209,46.6508,75.6999,-124.25
145.88,9.87,2.61,167.648,46.3507,75.6502,-124.2
145.9,9.87,2.62992,169.195,46.1005,75.5005,-124.2
145.92,9.87,2.65498,173.537,45.9005,75.151,-124.2
145.94,9.87,2.66997,179.841,45.7502,74.6508,-124.15
145.96,9.87,2.68,182.253,45.6502,74.0018,-124.05
145.98,9.87,2.67502,183.79,45.6,73.2021,-124
146,9.87,2.66004,190.332,45.6,72.352,-123.95
146.02,9.87,2.65,197.491,45.6,71.4015,-123.95
146.04,9.87,2.65,205.327,45.6,70.5018,-123.95
146.06,9.87,2.65,208.206,45.6,69.7519,-123.95
146.08,9.87,2.64004,206.201,45.6,69.1512,-124
146.1,9.87,2.63,213.567,45.6,68.7507,-124.05
146.12,9.87,2.61506,216.271,45.6,68.5502,-124.2
146.14,9.87,2.59502,213.447,45.6498,68.5499,-124.3
146.16,9.87,2.59,212.807,45.7,68.6498,-124.4
146.18,9.87,2.59,210.798,45.7,68.7995,-124.55
146.2,9.87,2.59996,214.485,45.7,68.9995,-124.7
146.22,9.87,2.61,214.112,45.7498,69.2494,-124.85
146.24,9.87,2.61,211.445,45.8,69.5493,-124.9
146.26,9.87,2.62494,212.749,45.8,69.8493,-124.85
146.28,9.87,2.64498,209.314,45.8,70.1493,-124.8
146.3,9.87,2.65,202.958,45.8,70.4994,-124.8
146.32,9.87,2.64003,199.653,45.8498,70.8991,-124.8
146.34,9.87,2.62502,196.86,45.9,71.2989,-124.75
146.36,9.87,2.61004,197.292,45.9,71.7489,-124.75
146.38,9.87,2.6,195.122,45.9498,72.1991,-124.8
146.4,9.87,2.60498,187.911,46,72.6986,-124.85
146.42,9.87,2.62992,186.598,46.0498,73.2488,-124.95
146.44,9.87,2.65997,184.011,46.1498,73.7492,-125.05
146.46,9.87,2.67,180.947,46.2498,74.2489,-125.15
146.48,9.87,2.67498,176.622,46.3995,74.6989,-125.25
146.5,9.87,2.66506,169.861,46.5497,75.1489,-125.35
146.52,9.87,2.65,171.988,46.6498,75.5994,-125.4
146.54,9.87,2.65,173.561,46.7995,75.9991,-125.35
146.56,9.87,2.65996,173.143,46.9497,76.3492,-125.35
146.58,9.87,2.67996,171.164,47.0996,76.6991,-125.3
146.6,9.87,2.69,166.553,47.2498,76.9995,-125.051
146.62,9.87,2.68502,171.126,47.3498,77.1995,-124.8
146.64,9.87,2.67502,174.453,47.4996,77.2999,-124.6
146.66,9.87,2.67,174.893,47.6498,77.3,-124.4
146.68,9.87,2.66502,175.11,47.7498,77.3,-124.151
146.7,9.87,2.66,171.359,47.8497,77.2005,-123.95
146.72,9.87,2.66,174.184,47.9498,77.0503,-123.9
146.74,9.87,2.66,175.315,48,76.9005,-123.9
146.76,9.87,2.66996,174.389,48.0498,76.7502,-123.9
146.78,9.87,2.68,177.246,48.1498,76.6502,-123.9
146.8,9.87,2.68,175.507,48.2,76.5502,-123.95
146.82,9.87,2.66505,174.395,48.2498,76.4502,-124.149
146.84,9.87,2.64003,171.368,48.3,76.3005,-124.35
146.86,9.87,2.63,171.786,48.3498,76.1005,-124.45
146.88,9.87,2.63,176.4,48.4,75.9005,-124.5
146.9,9.87,2.64494,174.658,48.4,75.7005,-124.5
146.92,9.87,2.66,174.645,48.4498,75.5503,-124.5
146.94,9.87,2.66498,177.048,48.5,75.5,-124.4
146.96,9.87,2.67,179.84,48.5,75.5,-124.2
146.98,9.87,2.66004,179.211,48.5,75.5498,-124.001
147,9.87,2.64004,175.306,48.5498,75.6498,-123.9
147.02,9.87,2.63,174.649,48.6498,75.7498,-123.85
147.04,9.87,2.63996,177.24,48.7,75.8,-123.7
147.06,9.87,2.65,182.434,48.7498,75.8,-123.6
147.08,9.87,2.65498,186.145,48.8498,75.7502,-123.7
147.1,9.87,2.66,187.248,48.9995,75.7,-123.9
147.12,9.87,2.65004,187.053,49.1995,75.6502,-124.05
147.14,9.87,2.63502,185.753,49.3995,75.6,-124.2
147.16,9.87,2.63,188.589,49.5997,75.6498,-124.45
147.18,9.87,2.63,192.1,49.8493,75.7995,-124.7
147.2,9.87,2.63498,191.005,50.1492,75.9995,-124.899
147.22,9.87,2.64,187.709,50.4493,76.2992,-125.05
147.24,9.87,2.64,184.007,50.7493,76.6991,-125.15
147.26,9.87,2.64,187.278,51.0493,77.1489,-125.2
147.28,9.87,2.63502,191.648,51.3493,77.599,-125.1
147.3,9.87,2.63,188.359,51.6495,78.0492,-124.9
147.32,9.87,2.62003,184.206,51.9493,78.5489,-124.651
147.34,9.87,2.60502,185.937,52.1994,79.0487,-124.401
147.36,9.87,2.6,193.779,52.4493,79.499,-124.2
147.38,9.87,2.6,197.953,52.7493,79.9489,-123.901
147.4,9.87,2.60996,193.418,53.0493,80.3991,-123.65
147.42,9.87,2.61502,192.741,53.3493,80.7991,-123.451
147.44,9.87,2.61997,200.137,53.5997,81.1994,-123.15
147.46,9.87,2.63,203.205,53.7498,81.6489,-122.9
147.48,9.87,2.63,203.196,53.8,82.0989,-122.601
147.5,9.87,2.63,202.108,53.7004,82.4991,-122.35
147.52,9.87,2.63,204.685,53.4505,82.8495,-122.15
147.54,9.87,2.64992,210.794,53.0511,83.1493,-121.9
147.56,9.87,2.67498,213.642,52.4518,83.4492,-121.9
147.58,9.87,2.68498,217.341,51.7516,83.7493,-122.05
147.6,9.87,2.69,217.111,51.0516,84.0493,-122.15
147.62,9.87,2.68502,217.537,50.3516,84.2995,-122.3
147.64,9.87,2.67004,222.988,49.7014,84.4995,-122.599
147.66,9.87,2.66,227.544,49.1508,84.7495,-123.199
147.68,9.87,2.61517,229.102,48.6511,84.9995,-123.799
147.7,9.87,2.55008,229.546,48.2509,85.2492,-124.249
147.72,9.87,2.51008,232.989,47.9507,85.5991,-124.749
147.74,9.87,2.49,239.532,47.7005,86.0489,-125.249
147.76,9.87,2.45513,241.758,47.5005,86.5489,-125.699
147.78,9.87,2.41502,239.155,47.3503,87.0987,-125.85
147.8,9.87,2.41,241.989,47.3,87.6492,-125.7
147.82,9.87,2.38508,244.605,47.3,88.0493,-125.55
147.84,9.87,2.34505,247.184,47.3995,88.2994,-125.45
147.86,9.87,2.33,247.66,47.5995,88.3501,-125.201
147.88,9.87,2.33,243.504,47.8991,88.1507,-124.851
147.9,9.87,2.35989,245.188,48.3489,87.8009,-124.65
147.92,9.87,2.41989,244.112,48.8489,87.3511,-124.55
147.94,9.87,2.48489,246.93,49.3991,86.9006,-124.45
147.96,9.87,2.52,248.075,49.9986,86.5507,-124.4
147.98,9.87,2.56483,242.853,50.5486,86.2508,-124.45
148,9.87,2.60502,243.747,50.9492,86.0503,-124.649
148.02,9.87,2.6,247.191,51.1997,85.9502,-124.9
148.04,9.87,2.59004,254.579,51.3,85.9,-125.05
148.06,9.87,2.57502,255.265,51.2005,85.9,-125.15
148.08,9.87,2.56502,254.989,50.9008,85.9498,-125.25
148.1,9.87,2.56,261.985,50.5009,86.0498,-125.3
148.12,9.87,2.55502,272.218,50.1009,86.1498,-125.2
148.14,9.87,2.54502,276.605,49.7507,86.2498,-124.901
148.16,9.87,2.54,272.704,49.5003,86.3997,-124.501
148.18,9.87,2.54,273.988,49.4,86.5498,-124.151
148.2,9.87,2.53004,278.788,49.4498,86.5502,-123.751
148.22,9.87,2.50506,282.692,49.6494,86.4502,-123.201
148.24,9.87,2.49,278.776,49.9991,86.3005,-122.701
148.26,9.87,2.48004,271.159,50.4986,86.0507,-122.4
148.28,9.87,2.47,272.041,51.1982,85.7009,-122.25
148.3,9.87,2.47,271.211,51.9988,85.3006,-122.15
148.32,9.87,2.47997,262.921,52.8977,84.9507,-122.05
148.34,9.87,2.49997,252.231,53.9969,84.6508,-122.1
148.36,9.87,2.51,241.971,55.1973,84.4503,-122.349
148.38,9.87,2.51,242.379,56.3973,84.4,-122.55
148.4,9.87,2.51498,243.068,57.6968,84.4995,-122.65
148.42,9.87,2.51502,234.122,59.047,84.7494,-122.8
148.44,9.87,2.53492,226.259,60.2982,85.0994,-122.95
148.46,9.87,2.56,221.011,61.4475,85.6484,-123.05
148.48,9.87,2.59985,222.335,62.4973,86.4477,-123.05
148.5,9.87,2.64996,224.354,63.3981,87.3978,-122.851
148.52,9.87,2.66,215.621,64.1489,88.4483,-122.65
148.54,9.87498,2.67494,210.79,64.7986,89.5973,-122.6
148.56,9.88,2.69498,211.903,65.2491,90.747,-122.55
148.58,9.88,2.7,211.249,65.4497,91.8973,-122.5
148.6,9.88,2.7,209.759,65.5498,93.0475,-122.45
148.62,9.88,2.70996,198.692,65.5005,94.0977,-122.5
148.64,9.88498,2.72996,193.392,65.3005,94.9981,-122.7
148.66,9.89,2.74,194.459,65.0505,95.7988,-122.85
148.68,9.89996,2.73502,189.211,64.7507,96.4489,-122.9
148.7,9.91,2.72004,186.603,64.5503,96.8989,-122.9
148.72,9.91,2.70004,180.772,64.4502,97.2991,-122.9
148.74,9.91,2.69,176.593,64.4,97.5995,-122.9
148.76,9.91498,2.6651,173.123,64.4995,97.7995,-122.85
148.78,9.92498,2.63004,167.905,64.6995,97.9995,-122.651
148.8,9.93,2.62,171.139,64.9495,98.1498,-122.45
148.82,9.93498,2.61004,173.754,65.2991,98.2995,-122.45
148.84,9.94,2.6,171.358,65.6989,98.4497,-122.55
148.86,9.94,2.60498,168.307,66.1987,98.5498,-122.65
148.88,9.94,2.61,169.388,66.7986,98.6498,-122.75
148.9,9.94,2.59506,172.647,67.4484,98.7498,-122.999
148.92,9.94498,2.57004,172.254,68.1484,98.8498,-123.499
148.94,9.95,2.56997,167.461,68.8489,98.9997,-123.95
148.96,9.95,2.58,165.89,69.6479,99.2493,-124.249
148.98,9.95,2.58498,168.944,70.5476,99.6487,-124.549
149,9.95,2.58502,167.857,71.4479,100.199,-124.849
149.02,9.95,2.58,165.252,72.3985,100.899,-125.1
149.04,9.95,2.59494,159.424,73.3977,101.648,-125.2
149.06,9.95,2.61996,153.557,74.4471,102.398,-125.2
149.08,9.95,2.64494,149.165,75.5475,103.148,-125.15
149.1,9.95,2.66,141.319,76.5977,103.749,-125.1
149.12,9.95,2.65502,136.553,77.5977,104.249,-125.1
149.14,9.95,2.64502,132.215,78.5479,104.649,-125.1
149.16,9.95,2.64,127.403,79.4985,104.9,-125.1
149.18,9.95,2.65494,121.522,80.3982,105.1,-125.1
149.2,9.95,2.67498,117.351,81.2476,105.349,-125.15
149.22,9.95,2.68996,116.057,82.1479,105.6,-125.2
149.24,9.95,2.7,111.064,83.0479,105.899,-125.2
149.26,9.95,2.69004,107.353,83.8982,106.349,-125.25
149.28,9.95,2.68,104.509,84.6484,106.799,-125.35
149.3,9.95,2.68,106.238,85.2991,107.249,-125.45
149.32,9.95,2.67501,107.363,85.7991,107.649,-125.45
149.34,9.95,2.66003,102.76,86.1989,107.899,-125.35
149.36,9.95498,2.65996,102.097,86.4995,108.05,-125.25
149.38,9.96,2.67,103.2,86.6498,108,-125.15
149.4,9.96498,2.67996,103.2,86.7498,107.751,-125
149.42,9.97498,2.68502,103.399,86.8,107.401,-124.8
149.44,9.98,2.68498,102.503,86.7003,106.951,-124.65
149.46,9.98,2.69,104.436,86.5502,106.451,-124.55
149.48,9.98,2.68004,108.394,86.3507,105.951,-124.4
149.5,9.98,2.66004,109.499,86.0507,105.451,-124.25
149.52,9.98,2.65,112.292,85.7505,105.001,-124.15
149.54,9.98,2.64004,112.113,85.4009,104.601,-124.05
149.56,9.98,2.62004,111.89,85.0011,104.301,-124
149.58,9.98,2.61996,115.793,84.5511,104.15,-124
149.6,9.98,2.63,115.159,84.0511,104.1,-124
149.62,9.98,2.63498,115.788,83.5511,104.15,-123.95
149.64,9.98,2.64,119.494,83.0511,104.3,-123.9
149.66,9.98,2.64,122.145,82.5508,104.45,-123.95
