DEPT[M],WELL,CALIPER[MM],DEN[GM/CC],GAM[API],RES(64N),RES[OHM],SP[MV],LITHOLOGY DESCRIPTION,Formation,Classified
395.46,3,6.66,2.69,106.662,48.7989,73.2005,-95.1,CARB SHALE,Raniganj,Carb Shale
396.26,3,6.66,2.65498,107.753,47.8498,71.4502,-94.8,SANDY SHALE,Raniganj,ss
397.42,3,6.66,2.66507,141.281,50.1988,72.1497,-94.9,ALT SH/SST,Raniganj,alt
398,3,6.66,2.69505,86.453,57.0498,82.0968,-94.5,SANDSTONE,Raniganj,Sandstone (SST)
401,3,6.66,2.58,178.331,57.0484,87.0991,-93.5,SANDSTONE,Raniganj,Sandstone (SST)
404,3,6.66,2.64502,141.554,56.7,84.5507,-92.3,SANDSTONE,Raniganj,Sandstone (SST)
404.61,3,6.66,2.66498,153.031,58.5498,77.4005,-92.2,SANDSTONE,Raniganj,Sandstone (SST)
407,3,6.66,2.40498,34.7402,124.953,130.701,-92.1,ALT SH/SST,Raniganj,alt
407.65,3,6.66,2.51498,78.089,78.1027,88.1005,-91.9,ALT SH/SST,Raniganj,alt
410,3,6.66,2.47498,149.127,74.9,96.6,-90.5,SANDSTONE,Raniganj,Sandstone (SST)
413,3,6.66,2.22,163.499,60.0991,63.1507,-93.0005,SANDSTONE,Raniganj,Sandstone (SST)
416,3,6.66,2.57003,163.111,53.0502,72.1,-89,SANDSTONE,Raniganj,Sandstone (SST)
417.28,3,6.66,2.47498,64.3922,53.0005,76.4995,-88.5502,SANDSTONE,Raniganj,Sandstone (SST)
419,3,6.66,2.65006,99.2598,57.3498,82.1498,-88.1,ALT SH/SST,Raniganj,alt
419.5,3,6.66,2.67502,85.7438,64.7489,84.1493,-87.8,ALT SH/SST,Raniganj,alt
422,3,6.66,2.67,145.65,83.6992,108.55,-33.6,SANDSTONE,Raniganj,Sandstone (SST)
425,3,6.66,2.62498,161.806,65.8998,84.9005,-32.8,SANDSTONE,Raniganj,Sandstone (SST)
425.2,3,6.66,2.61493,169.212,67.4996,84.2492,-32.7,SANDSTONE,Raniganj,Sandstone (SST)
428,3,6.66,2.59997,125.847,73.4496,94.2001,-32.4,ALT SH/SST,Raniganj,alt
431,3,6.66,2.60502,148.1,78.1997,87.9,-32.1,ALT SH/SST,Raniganj,alt
432.6,3,6.66,2.70005,151.757,101.551,115.501,-31.7,SANDSTONE,Raniganj,Sandstone (SST)
434,3,6.65,2.14489,177.255,62.0502,58.7999,-33,SANDY SHALE,Raniganj,ss
436.45,3,6.65,2.46493,137.341,75.6484,85.5023,-31,SANDY SHALE,Raniganj,ss
437,3,6.65,2.58498,152.645,86.4493,99.0002,-31.2499,SANDSTONE,Raniganj,Sandstone (SST)
438.25,3,6.65,2.56502,180.11,128.45,117.4,-30.7999,SANDSTONE,Raniganj,Sandstone (SST)
440,3,6.65,2.59,186.144,127.05,123.549,-29.3,ALT SH/SST,Raniganj,alt
440.44,3,6.65,2.63003,201.643,145.45,131.749,-29.0498,SANDSTONE,Raniganj,Sandstone (SST)
440.69,3,6.65,2.58498,195.142,139.801,136.351,-29.2,SANDY SHALE,Raniganj,ss
441.84,3,6.65,2.60997,106.655,105.65,110.2,-29.3,ALT SH/SST,Raniganj,alt
443,3,6.65,2.56,48.491,97.4023,136.753,-29.2,SANDSTONE,Raniganj,Sandstone (SST)
443.29,3,6.65,2.15502,177.214,83.5511,68.3027,-30.7,SANDSTONE,Raniganj,Sandstone (SST)
446,3,6.44317,2.6,198.149,85.6008,107.6,-28.0501,ALT SH/SST,Raniganj,alt
448.1,3,6.39053,2.52502,103.8,94.4009,90.6008,-28.1502,SANDSTONE,Raniganj,Sandstone (SST)
448.48,3,6.35114,2.46154,154.587,90.4478,102.601,-22.9499,SHALE,Raniganj,Grey Shale
449,3,6.0618,2.34057,138.449,118.999,117.45,-28.9,SANDSTONE,Raniganj,Sandstone (SST)
452,3,5.08,2.13281,83.9994,66.7995,73.503,-29.3499,SANDSTONE,Raniganj,Sandstone (SST)
454.8,3,5.08,2.61497,89.6881,90.0493,94.0973,-27.4502,SANDY SHALE,Raniganj,ss
455,3,5.08,2.61501,117.347,93.8495,105.1,-27.3,SANDSTONE,Raniganj,Sandstone (SST)
455.95,3,5.08,2.71005,126.927,138.249,131.853,-27.6,SANDSTONE,Raniganj,Sandstone (SST)
458,3,5.08,2.44501,185.093,84.7511,101.101,-26.8499,ALT SH/SST,Raniganj,alt
458.8,3,5.08,2.57992,205.821,74.3493,85.3484,-26.6502,ALT SH/SST,Raniganj,alt
459.53,3,5.08,2.57999,162.04,81.5012,96.5031,-25.6498,SANDSTONE,Raniganj,Sandstone (SST)
460.87,3,5.08,2.4,139.802,89.0502,83.3002,-27.6,SANDSTONE,Raniganj,Sandstone (SST)
461,3,5.08,2.31504,141.549,89.0998,86.9994,-27.6499,SANDSTONE,Raniganj,Sandstone (SST)
461.19,3,5.08,2.28989,164.399,89.9995,84.8,-27.8502,SANDSTONE,Raniganj,Sandstone (SST)
461.8,3,5.08,1.89001,168.737,75.2986,89.8087,-26.8498,ALT SH/SST,Raniganj,alt
462.11,3,5.08,2.62005,189.256,75.9504,76.5992,-26.5,SANDY SHALE,Raniganj,ss
464,3,5.08,2.54501,110.155,78.4495,88.1492,-25.2,SANDSTONE,Raniganj,Sandstone (SST)
465.2,3,5.08,2.64502,131.267,103.698,107.899,-25.5,SANDSTONE,Raniganj,Sandstone (SST)
465.9,3,5.08,2.56,200.144,101.052,116.102,-25.2,ALT SH/SST,Raniganj,alt
466.65,3,5.08,2.64,187.05,97.3003,105.799,-24.9,SANDY SHALE,Raniganj,ss
467,3,5.08,2.63002,196.44,96.6492,111.151,-24.5,SANDSTONE,Raniganj,Sandstone (SST)
467.15,3,5.08,2.595,212.745,105.55,108.8,-24.3,SANDY SHALE,Raniganj,ss
467.85,3,5.08,2.685,138.032,91.6511,103.953,-24.7,SANDSTONE,Raniganj,Sandstone (SST)
468.25,3,5.08,2.67492,122.796,84.0012,90.1503,-24.5001,SANDY SHALE,Raniganj,ss
468.95,3,5.08,2.63502,180.312,89.8475,102.348,-24.2,SANDSTONE,Raniganj,Sandstone (SST)
470,3,5.08,2.61501,141.754,88.5,105.148,-24.3,CARB SHALE,Raniganj,Carb Shale
470.5,3,5.08,2.61,182.256,85.7003,106.45,-24.2501,CARB SHALE,Raniganj,Carb Shale
473,3,5.08,2.51499,50.7017,93.6499,95.7496,-24.7,COAL,Raniganj,coal
474.18,3,5.08,2.55003,101.829,50.2541,90.9541,-28.0994,COAL,Raniganj,coal
474.7,3,5.08,1.96993,258.672,33.5005,34.9,-30.9507,ALT SH/SST,Raniganj,alt
476,3,5.08,1.68995,94.7043,120.993,112.742,-32.7,SANDSTONE,Raniganj,Sandstone (SST)
476.18,3,5.08,1.65505,40.4447,255.41,217.934,-33.4498,SANDSTONE,Raniganj,Sandstone (SST)
476.36,3,5.08,1.48512,29.5461,608.413,286.536,-34.1498,CARB SHALE,Raniganj,Carb Shale
477.86,3,5.08,1.10504,75.7479,898.497,323.098,-36.7,SANDSTONE,Raniganj,Sandstone (SST)
478.25,3,5.08,1.70997,90.73,491.789,183.564,-33.7501,SANDY SHALE,Raniganj,ss
478.45,3,5.08,1.59498,135.643,622.89,153.9,-32.5502,CARB SHALE,Raniganj,Carb Shale
479,3,5.08,1.28998,110.404,482.578,231.5,-30.2003,COAL,Raniganj,coal
479.6,3,5.08,1.91,222.787,115.352,86.6051,-23.2498,SHALY COAL,Raniganj,coal
480.22,3,5.08,2.51002,98.7933,83.7009,87.8523,-19.8,SANDSTONE,Raniganj,Sandstone (SST)
480.32,3,5.08,2.56003,107.289,80.5013,82.4515,-19.6502,SHALE,Raniganj,Grey Shale
480.76,3,5.08,2.50995,129.3,67.2006,75.8004,-19.8,ALT SH/SST,Raniganj,alt
481.4,3,5.08,2.54003,107.749,62.8502,73.2502,-20.2498,SANDSTONE,Raniganj,Sandstone (SST)
482,3,5.08,2.50499,95.5476,62.0499,74.9502,-21.2,SANDY SHALE,Raniganj,ss
482.4,3,5.08,2.53498,113.647,61.8502,73.5499,-22.2498,SANDY SHALE,Raniganj,ss
482.9,3,5.08,1.87018,126.047,68.5982,66.9021,-25.7994,SANDSTONE,Raniganj,Sandstone (SST)
484.36,3,5.08,1.13996,82.2521,688.878,263.046,-33.3,SANDY SHALE,Raniganj,ss
484.67,3,5.08,2.20508,130.399,400.572,210.863,-32.5502,SANDSTONE,Raniganj,Sandstone (SST)
485,3,5.08,2.51983,123.251,193.511,170.008,-26.0006,SHALE,Raniganj,dgs
485.3,3,5.08,2.61498,143.053,146.104,111.653,-21.6502,SHALE,Raniganj,dgs
488,3,5.08,2.61,193.156,63.1006,87.5535,-20.2,SANDSTONE,Raniganj,Sandstone (SST)
491,3,5.08,2.97501,123.719,94.9386,150.844,-21.3498,SANDSTONE,Raniganj,Sandstone (SST)
