DEPT[M],WELL,CALIPER[MM],DEN[GM/CC],GAM[API],RES(64N),RES[OHM],SP[MV],LITHOLOGY DESCRIPTION,Formation,Classified
171.02,3,9.95,2.58,213.448,79.6479,100.552,-124.051,SHALE,Raniganj,Grey Shale
173,3,10,2.52502,207.932,71.1503,107.85,-121.851,SANDY SHALE,Raniganj,ss
173.3,3,10,2.64,215.837,74.9508,101.251,-122.8,SANDY SHALE,Raniganj,ss
176,3,9.87,2.64506,173.105,69.648,92.6498,-122.6,SANDSTONE,Raniganj,Sandstone (SST)
179,3,9.96,2.55502,215.995,62.9507,87.3005,-123.05,SANDY SHALE,Raniganj,ss
179.75,3,9.98,2.61506,245.905,56.8507,83.2991,-122.8,SANDY SHALE,Raniganj,ss
180.35,3,10.01,2.59,232.772,54.9005,83.7484,-123.95,SHALE,Raniganj,Grey Shale
180.65,3,10.02,2.61,231.947,56.4498,80.7511,-124,COAL,Raniganj,coal
180.79,3,10.02,2.58,234.995,56.0003,79.0502,-124.35,SHALE,Raniganj,Grey Shale
181.43,3,10.12,2.54,247.83,61.5991,75.5495,-124.65,SANDY SHALE,Raniganj,ss
182,3,10.155,1.08992,167.641,49.5956,132.516,-124.2,SANDSTONE,Raniganj,Sandstone (SST)
185,3,9.87,2.60502,201.449,49.1005,76.5493,-122.35,SANDSTONE,Raniganj,Sandstone (SST)
188,3,10.03,2.79502,82.7035,74.0969,121.312,-123.7,SANDSTONE,Raniganj,Sandstone (SST)
188.76,3,10.2249,2.58506,104.301,84.0977,93.1461,-124.25,SANDSTONE,Raniganj,Sandstone (SST)
189.54,3,10.25,2.46989,187.883,56.0525,73.8005,-124.5,SANDY SHALE,Raniganj,ss
189.74,3,10.33,2.63,190.093,50.6507,74.8991,-124.6,COAL,Raniganj,coal
191,3,10.43,2.68,237.617,51.3485,70.0493,-124.5,SANDY SHALE,Raniganj,ss
191.44,3,11.01,2.19,152.611,87.3474,107.39,-126.45,SHALE,Raniganj,dgs
192.04,3,10.265,2.84429,168.783,74.0037,83.5037,-124.2,SANDY SHALE,Raniganj,ss
194,3,10.15,2.61004,249.803,39.1503,69.3,-123.65,SANDSTONE,Raniganj,Sandstone (SST)
196.89,3,9.9,2.65498,70.958,57.4027,79.1484,-124.6,SANDSTONE,Raniganj,Sandstone (SST)
197,3,9.9,2.71,67.2088,51.6525,81.7991,-124.7,SANDY SHALE,Raniganj,ss
197.4,3,9.9,2.58008,74.442,40.4005,61.8521,-124.6,SHALE,Raniganj,Grey Shale
198.12,3,9.94,2.63997,165.048,36.6995,69.3984,-124.6,SANDY SHALE,Raniganj,ss
199.1,3,9.99,2.80006,177.855,46.9027,87.0489,-124.05,SANDSTONE,Raniganj,Sandstone (SST)
200,3,10.01,2.65,197.259,54.4502,80.9009,-124.45,SANDY SHALE,Raniganj,ss
201.4,3,10.065,2.65506,191.174,62.7,82.3027,-124.6,SANDSTONE,Raniganj,Sandstone (SST)
203,3,9.95,2.64506,150.898,99.2479,108.948,-124.7,SANDY SHALE,Raniganj,ss
203.17,3,9.95,2.58494,130.011,100.851,129.241,-124.7,SHALE,Raniganj,Grey Shale
204.79,3,10.03,2.56,251.774,61.5991,88,-124.1,SANDSTONE,Raniganj,Sandstone (SST)
205.72,3,10.02,2.68502,165.047,77.449,84.7012,-124.6,SANDY SHALE,Raniganj,ss
206,3,10.02,2.65498,167.911,78.4507,88.4475,-124.6,SHALE,Raniganj,dgs
209,3,10.13,2.56498,195.338,56.3986,77.3996,-124,SANDY SHALE,Raniganj,ss
212,3,10.24,2.53004,241.1,58.4511,77.301,-125.35,SANDY SHALE,Raniganj,ss
213.19,3,10.12,2.64498,201.177,55.3508,78.3519,-124.3,SANDY SHALE,Raniganj,ss
215,3,10.17,2.56004,201.209,50,76.5023,-124.2,SANDSTONE,Raniganj,Sandstone (SST)
216.56,3,10.15,2.66,198.388,53.5,78.5502,-124.6,SANDSTONE,Raniganj,Sandstone (SST)
217.4,3,10.305,2.65498,162.848,55.6493,80.6507,-124.7,SANDY SHALE,Raniganj,ss
218,3,10.22,2.68502,158.497,53.6009,83.8009,-124.6,SHALE,Raniganj,Grey Shale
220.45,3,10.17,2.48479,222.719,100.446,107.452,-124.75,SANDY SHALE,Raniganj,ss
221,3,10.225,2.53498,220.586,109.148,109.349,-124.8,SANDSTONE,Raniganj,Sandstone (SST)
223.39,3,10.2652,2.6,169.629,71.4986,94.2489,-123.5,SANDSTONE,Raniganj,Sandstone (SST)
224,3,10.28,2.74008,176.35,76.1507,94.1516,-123.8,SANDY SHALE,Raniganj,ss
224.25,3,10.29,2.49997,173.337,71.3011,92.1999,-123.6,SHALE,Raniganj,Grey Shale
225.54,3,10.16,2.65487,69.0009,98.6023,120.245,-124.2,SANDSTONE,Raniganj,Sandstone (SST)
227,3,10.02,2.90008,102.118,36.6497,91.4447,-124.6,SANDY SHALE,Raniganj,ss
227.22,3,10.02,2.57,134.549,38.4497,82.0086,-124.75,SANDY SHALE,Raniganj,ss
230,3,9.90498,2.61502,155.267,48.3995,89.5479,-123.6,SANDSTONE,Raniganj,Sandstone (SST)
231.96,3,10.0949,2.4251,158.743,51.8498,60.1493,-125.05,SANDSTONE,Raniganj,Sandstone (SST)
232.35,3,9.93498,2.59006,128.461,55.9981,93.9476,-123.6,SANDY SHALE,Raniganj,ss
232.52,3,9.94,2.5,106.007,61.4986,96.8525,-123.8,SHALE,Raniganj,Grey Shale
233,3,10.01,2.48996,77.5051,75.5502,104.548,-123.8,SANDY SHALE,Raniganj,ss
233.81,3,10.03,2.53004,92.953,75.6498,98.4502,-123.8,SANDY SHALE,Raniganj,ss
236,3,10,2.60502,155.258,56.8489,84.4977,-123.65,SANDSTONE,Raniganj,Sandstone (SST)
237.28,3,9.92502,2.45996,46.296,82.0995,99.9015,-124.4,SANDSTONE,Raniganj,Sandstone (SST)
237.76,3,9.92,2.44,72.2454,80.1497,99.6524,-124.1,SANDSTONE,Raniganj,Sandstone (SST)
238.67,3,9.95996,2.52502,110.602,64.6507,80.3982,-123.95,SANDY SHALE,Raniganj,ss
239,3,10.01,2.56502,94.7143,66.0991,87.8497,-123.6,SHALE,Raniganj,Grey Shale
239.13,3,10.06,2.58494,81.6162,68.6493,88.9498,-123.85,SANDY SHALE,Raniganj,ss
239.43,3,10.01,2.5,54.153,76.3489,117.048,-124.35,SANDSTONE,Raniganj,Sandstone (SST)
240.2,3,9.95,2.61004,184.885,78.7994,91.598,-123.5,SANDY SHALE,Raniganj,ss
241.16,3,10,2.62,206.629,88.5009,97.9995,-122.5,COAL,Raniganj,coal
242,3,10.06,2.51498,210.132,103.148,108.148,-122.75,SANDY SHALE,Raniganj,ss
242.5,3,10.17,2.19521,156.366,187.278,153.73,-123.35,SANDY SHALE,Raniganj,ss
245,3,10.17,2.1249,216.439,66.8969,90.5043,-121.1,SANDSTONE,Raniganj,Sandstone (SST)
245.23,3,10.17,2.88497,190.288,77.8511,92.2484,-121.2,SANDSTONE,Raniganj,Sandstone (SST)
245.63,3,10.16,2.67502,178.804,77.3502,94.999,-121.1,COAL,Raniganj,coal
246.01,3,10.17,2.63,183.77,70.6507,95.0009,-121.45,SANDSTONE,Raniganj,Sandstone (SST)
246.36,3,10.17,2.62498,174.199,68.9004,87.849,-122.2,SANDY SHALE,Raniganj,ss
248,3,10.06,1.32015,117.558,171.396,200.943,-124.15,SANDSTONE,Raniganj,Sandstone (SST)
248.78,3,10.0651,2.26,213.861,75.4005,83.5036,-122.45,SANDSTONE,Raniganj,Sandstone (SST)
249.81,3,9.86,2.67,129.328,77.3493,100.747,-122.2,SANDY SHALE,Raniganj,ss
251,3,10.025,2.73,118.445,95.3513,110.951,-122.05,SANDSTONE,Raniganj,Sandstone (SST)
252.92,3,10.07,2.81494,170.754,113.051,116.551,-122.5,SANDY SHALE,Raniganj,ss
253.53,3,10.05,2.58502,97.0495,118.15,116,-123,SANDSTONE,Raniganj,Sandstone (SST)
254,3,10.05,2.43,213.388,120.699,116.848,-121.9,SANDY SHALE,Raniganj,ss
254.28,3,10.03,2.24004,182.442,143.693,144.396,-121.8,SANDY SHALE,Raniganj,ss
255.54,3,9.95392,2.80498,151.37,186.315,173.295,-122.2,SANDSTONE,Raniganj,Sandstone (SST)
255.94,3,9.64312,2.79,153.507,142.555,122.254,-121.4,SANDY SHALE,Raniganj,ss
256.47,3,8.9402,2.62995,199.942,111.701,106.048,-121.2,COAL,Raniganj,coal
257,3,8.13364,2.45,223.468,99.9466,113.052,-121,SANDY SHALE,Raniganj,ss
257.35,3,6.83502,2.61502,118.886,121.547,116.851,-121.5,SANDY SHALE,Raniganj,ss
258.37,3,6.78,3.00006,144.337,132.5,118.903,-121.75,SHALE,Raniganj,Grey Shale
259,3,6.77,1.41,128.07,331.122,244.791,-122.75,SANDSTONE,Raniganj,Sandstone (SST)
260,3,6.76,2.56,219.506,130.149,107.65,-120.5,SANDY SHALE,Raniganj,ss
263,3,6.73,2.68,197.298,44.5498,68.8502,-119.7,SANDSTONE,Raniganj,Sandstone (SST)
265.05,3,6.72,2.69,139.159,66.5963,78.5493,-121,SANDSTONE,Raniganj,Sandstone (SST)
266,3,6.71,2.59,135.858,62.2018,77.8995,-121.3,SHALE,Raniganj,dgs
266.35,3,6.71,2.55507,170.737,55.0011,76.6001,-120.85,SHALY COAL,Raniganj,coal
266.45,3,6.71,2.53,165.694,52.5018,77.8988,-121,SHALE,Raniganj,dgs
268.15,3,6.7,2.48,238.891,65.0982,69.6986,-121.65,SANDY SHALE,Raniganj,ss
269,3,6.7,1.62,117.57,172.97,204.252,-123.95,SANDSTONE,Raniganj,Sandstone (SST)
269.85,3,6.7,2.62493,220.407,53.1007,73.1989,-119.85,SANDSTONE,Raniganj,Sandstone (SST)
271.82,3,6.7,2.68501,169.399,60.0998,85.2998,-120.4,SANDY SHALE,Raniganj,ss
272,3,6.7,2.68,198.353,60.7498,85.1995,-120.45,CARB SHALE,Raniganj,Carb Shale
272.26,3,6.7,2.67498,175.046,62.3,86.8,-120.75,SANDY SHALE,Raniganj,ss
272.82,3,6.7,2.68499,214.695,55.1502,83.751,-120.7,SANDSTONE,Raniganj,Sandstone (SST)
274.11,3,6.7,2.7,201.457,58.6982,81.8009,-121.1,SANDY SHALE,Raniganj,ss
275,3,6.7,1.37,183.4,86.2009,165.599,-121.9,SANDSTONE,Raniganj,Sandstone (SST)
275.5,3,6.7,2.84,184.905,71.4516,78.0507,-120,SANDSTONE,Raniganj,Sandstone (SST)
276.06,3,6.7,2.68,188.594,57.7009,79.3991,-119.5,SANDY SHALE,Raniganj,ss
278,3,6.69,2.63,182.496,61.6014,82.6502,-119.6,SANDSTONE,Raniganj,Sandstone (SST)
279.4,3,6.69,2.58,174.638,49.8498,82.3973,-120.6,SANDSTONE,Raniganj,Sandstone (SST)
280.65,3,6.69,2.6,187.218,58,86.3995,-119.8,SANDY SHALE,Raniganj,ss
280.83,3,6.69,2.62,178.737,56.6507,86.3511,-120.05,CARB SHALE,Raniganj,Carb Shale
281,3,6.69,2.63,196.928,55.3005,82.6014,-120.2,SANDSTONE,Raniganj,Sandstone (SST)
283.36,3,6.69,1.91553,151.346,138.528,164.433,-121.7,SANDSTONE,Raniganj,Sandstone (SST)
284,3,6.69,1.71,187.031,87.4046,90.4032,-118.85,SANDSTONE,Raniganj,Sandstone (SST)
284.66,3,6.69,2.67,158.496,71.4516,94.7484,-118.1,SANDSTONE,Raniganj,Sandstone (SST)
287,3,6.69,2.54498,69.1941,48.2507,75,-118.2,SANDSTONE,Raniganj,Sandstone (SST)
290,3,6.69,2.80498,46.753,81.505,129.411,-118.45,SANDSTONE,Raniganj,Sandstone (SST)
291.39,3,6.69,2.54,51.9524,67.7958,105.438,-118.45,SANDSTONE,Raniganj,Sandstone (SST)
292.37,3,6.69,2.62505,68.7941,46.7507,64.3525,-117.8,SANDY SHALE,Raniganj,ss
293,3,6.69,2.46003,55.895,36.3502,62.0995,-117.8,SANDSTONE,Raniganj,Sandstone (SST)
293.17,3,6.69,2.42,57.1947,35.1001,60.5503,-117.8,SANDSTONE,Raniganj,Sandstone (SST)
293.31,3,6.69,2.45499,60.9493,34.2501,60.4501,-117.8,SANDSTONE,Raniganj,Sandstone (SST)
294.01,3,6.69,2.45498,56.5556,32.4001,58.9007,-117.85,SANDY SHALE,Raniganj,ss
295.7,3,6.69,2.64005,192.315,27.6498,58.8498,-117.7,SANDSTONE,Raniganj,Sandstone (SST)
296,3,6.69,2.69994,133.425,31.1995,56.5,-117.95,SANDY SHALE,Raniganj,ss
297.69,3,6.69,2.61502,225.823,34.5995,61.4991,-117.5,SANDY SHALE,Raniganj,ss
297.87,3,6.69,2.65498,178.787,36.7995,64.2995,-117.4,SHALY COAL,Raniganj,coal
299,3,6.69,2.43003,190.348,45.7005,66.0516,-117.15,SANDSTONE,Raniganj,Sandstone (SST)
300.28,3,6.69,2.61,254.165,47.6991,71.3498,-116.7,SANDSTONE,Raniganj,Sandstone (SST)
301.18,3,6.68,1.51,189.711,55.6475,99.6538,-116.5,SANDY SHALE,Raniganj,ss
301.48,3,6.68498,2.96991,176.358,67.2995,85.1516,-116.3,SHALE,Raniganj,Grey Shale
302,3,6.69,2.74492,109.049,90.8941,114.195,-116.1,SANDSTONE,Raniganj,Sandstone (SST)
302.74,3,6.68,2.80995,119.276,76.8542,109.066,-116.15,ALT SH/SST,Raniganj,alt
303.5,3,6.68,2.65,214.666,46.4009,73.6005,-115.8,SANDY SHALE,Raniganj,ss
305,3,6.68,2.73495,155.074,60.0986,82.4493,-115.4,SHALE,Raniganj,Grey Shale
306.27,3,6.68,2.63997,165.026,73.3982,95.8009,-115.5,SHALE,Raniganj,Grey Shale
307.44,3,6.68,2.67003,181.626,124.547,131.35,-115.1,SANDY SHALE,Raniganj,ss
308,3,6.68,2.36498,172.882,148.647,145.8,-115.2,ALT SH/SST,Raniganj,alt
309.67,3,6.68,1.94,173.136,81.8472,97.7061,-115.15,SANDY SHALE,Raniganj,ss
310.58,3,6.68,2.63995,209.302,80.4993,91.6497,-114.1,SHALE,Raniganj,Grey Shale
311,3,6.68,2.61498,174.437,79.6498,98.6489,-114,SANDY SHALE,Raniganj,ss
312.4,3,6.68,2.51,187.043,98.9006,110.65,-114.5,SANDY SHALE,Raniganj,ss
314,3,6.68,2.68,211.059,61.7991,81.1507,-114.3,SANDSTONE,Raniganj,Sandstone (SST)
314.67,3,6.68,2.58,235.912,62.2505,86.6467,-113.9,SANDSTONE,Raniganj,Sandstone (SST)
314.93,3,6.68,2.61,212.713,63.4489,88.4014,-113.65,SANDY SHALE,Raniganj,ss
315.35,3,6.68,2.66498,222.995,70.3492,81.0486,-113.55,SHALE,Raniganj,Grey Shale
315.99,3,6.68,2.58997,135.611,132.288,130.036,-114.65,SANDSTONE,Raniganj,Sandstone (SST)
316.63,3,6.68,2.76995,95.3401,133.31,134.568,-114.25,SANDY SHALE,Raniganj,ss
317,3,6.68,2.57498,195.982,84.7027,92.4018,-113.6,SHALE,Raniganj,Grey Shale
320,3,6.68,2.59,201.7,67.0009,87.4005,-113.8,ALT SH/SST,Raniganj,alt
322.4,3,6.68,2.65,165.937,63.7987,91.9986,-113.8,ALT SH/SST,Raniganj,alt
323,3,6.68,2.59,203.854,68.2991,85.0986,-113.9,SHALE,Raniganj,Grey Shale
324,3,6.68,2.6,188.335,67.4014,92.2,-113.6,COAL,Raniganj,coal
326,3,6.68,2.66495,198.6,68.4982,81.0018,-114.2,ALT SH/SST,Raniganj,alt
326.99,3,6.68,1.22997,67.6292,575.61,283.546,-119.55,ALT SH/SST,Raniganj,alt
327.28,3,6.68,1.38003,157.371,285.457,231.121,-117.251,SHALE,Raniganj,Grey Shale
327.81,3,6.67,2.08997,210.152,75.351,82.3505,-112.15,ALT SH/SST,Raniganj,alt
328.01,3,6.67502,2.90995,183.108,64.7528,81.9501,-111.55,SHALE,Raniganj,Shale
329,3,6.67,2.72495,165.946,57.1,81.5493,-111.2,SANDSTONE,Raniganj,Sandstone (SST)
329.17,3,6.67,2.74,162.667,56.7005,80.1509,-111.2,ALT SH/SST,Raniganj,alt
329.64,3,6.67,2.59005,198.808,50.7504,76.2006,-111.1,SHALE,Raniganj,Grey Shale
331.76,3,6.67,2.60498,218.212,51.2498,80.1005,-111.6,SANDSTONE,Raniganj,Sandstone (SST)
332,3,6.67,2.50994,187.529,56.3982,84.0493,-112,SANDY SHALE,Raniganj,ss
332.35,3,6.67,2.75005,144.809,63.4504,85.9999,-112.15,CARB SHALE,Raniganj,Carb Shale
333.9,3,6.67,2.55,138.046,66.4011,81.9006,-112.2,SANDSTONE,Raniganj,Sandstone (SST)
335,3,6.67,2.62502,189,53.2,81.0516,-113.45,SANDY SHALE,Raniganj,ss
335.24,3,6.67,2.50507,214.105,64.0968,64.9037,-115.45,SANDSTONE,Raniganj,Sandstone (SST)
336.13,3,6.67,2.30493,183.8,82.3516,103.457,-112.2,SANDY SHALE,Raniganj,ss
336.76,3,6.67,2.65995,153.71,70.2009,88.8502,-112.15,SANDSTONE,Raniganj,Sandstone (SST)
338,3,6.67,2.59997,90.753,54.0507,86.9521,-114.799,SHALE,Raniganj,Grey Shale
338.68,3,6.67,2.77,182.239,56.6491,78.798,-114.9,COAL,Raniganj,coal
341,3,6.67,2.81003,241.087,101.795,95.9479,-112.95,SANDY SHALE,Raniganj,ss
