DEPT[M],WELL,CALIPER[MM],DEN[GM/CC],RES(64N),RES[OHM],SP[MV],GAM[API],LITHOLOGY DESCRIPTION,Formation,Classified
172.667,2,16.9112,2.32135,17.2524,57.6192,9.91471,202.379,Sandy Shale,Raniganj,ss
173.237,2,16.6328,2.38097,16.7491,71.3077,9.85518,166.424,Fine grained sandstone with shale lamination,Raniganj,Sandstone (SST)
173.987,2,16.4573,2.33815,19.9975,57.9151,9.36839,203.07,Grey Shale,Raniganj,Grey Shale
174.617,2,16.437,2.34693,21.8744,51.9885,9.61119,248.013,Fine grained sandstone with shale bands,Raniganj,Sandstone (SST)
174.987,2,16.4304,2.3976,21.2345,66.265,10.3801,174.03,Sandy Shale,Raniganj,ss
175.257,2,16.4223,2.35526,18.6721,60.9276,9.59096,209.293,Carbonaceous Shale,Raniganj,Carb shale
175.297,2,16.4201,2.34757,18.6254,60.8688,9.59096,216.207,Sandy Shale,Raniganj,ss
175.827,2,16.3955,2.29654,19.7236,51.7587,10.1346,225.196,Sandy shale,Raniganj,ss
176.517,2,16.3822,2.35193,16.8878,58.7191,9.18628,233.493,Shaly Sandstone laminae,Raniganj,Sandstone (SST)
177.037,2,16.366,2.08352,11.3948,55.3014,10.8617,189.242,Coal,Raniganj,coal
178.297,2,16.1449,2.27955,32.9921,60.9254,10.3599,171.956,Shaly Sandstone with shale lamination,Raniganj,Sandstone (SST)
178.397,2,16.1387,2.28287,34.5049,61.565,10.3599,171.264,Dark gray Shale,Raniganj,dgs
179.207,2,16.0162,1.92583,16.2011,64.9885,9.61119,188.55,Shaly Coal with vitrain band,Raniganj,coal
179.347,2,15.9827,1.70739,15.1016,72.6985,10.3178,138.767,Coal,Raniganj,coal
180.277,2,18.9972,1.43504,8.42029,106.245,11.5534,86.2178,Fine grained Sandstone,Raniganj,Sandstone (SST)
181.047,2,16.0765,2.19144,18.9914,56.6908,9.7326,185.093,Shaly Sandstone,Raniganj,Sandstone (SST)
181.297,2,16.1107,2.35811,21.3711,52.455,9.77307,219.665,Fine grained Sandstone,Raniganj,Sandstone (SST)
182.007,2,16.167,2.34679,24.5744,47.2908,10.3599,250.779,Shaly Sandstone,Raniganj,Sandstone (SST)
185.797,2,16.1494,2.36765,21.2334,65.5099,10.5584,99.355,Fine grained Sandstone with streaks of Shale,Raniganj,Sandstone (SST)
190.297,2,21.3918,2.26815,25.3982,57.4452,10.7645,175.413,Fine grained to medium grained Sandstone,Raniganj,Sandstone (SST)
194.797,2,17.0304,2.32456,27.9148,64.4692,7.52708,120.789,Fine grained to medium grained Sandstone,Raniganj,Sandstone (SST)
199.297,2,16.1707,2.3056,25.627,59.1865,8.9637,121.481,Shale with coal streaks,Raniganj,Shale
203.797,2,18.8263,2.33443,27.0914,62.029,8.74113,162.276,Shale with coal streaks,Raniganj,Shale
204.057,2,18.8299,2.29185,27.4116,64.6401,10.3396,151.904,Shale with coal streaks,Raniganj,Shale
205.177,2,18.6319,2.25883,17.7131,66.7283,9.48979,100.046,Gray shale with coal streaks,Raniganj,Shale
207.447,2,17.5841,2.41604,18.0304,55.4143,7.79013,200.304,Sandy shale with sand patches,Raniganj,Shale
208.557,2,17.0878,2.3823,17.527,49.3796,7.34461,232.11,Shaly sandstone with shale laminations,Raniganj,alt
211.347,2,15.29,2.3974,22.0579,57.5032,7.24381,156.053,Fine grained to medium grained Sandstone,Raniganj,Sandstone (SST)
211.977,2,14.8707,2.45925,21.7373,73.2861,6.1107,105.578,Fine grained to medium grained Sandstone,Raniganj,Sandstone (SST)
212.997,2,14.7603,2.37223,21.5999,60.0548,7.48661,134.618,Shaly sandstone,Raniganj,Sandstone (SST)
213.487,2,14.6914,2.35367,20.1355,59.8262,6.57608,167.807,Shaly sandstone,Raniganj,Sandstone (SST)
213.777,2,14.6636,2.3691,18.9457,61.1008,6.27257,175.413,Dark gray Shale,Raniganj,dgs
214.057,2,14.6538,2.354,18.7626,57.6771,5.96906,230.728,Shaly Sandstone,Raniganj,Sandstone (SST)
214.657,2,14.6569,2.34983,21.3712,54.6609,6.55585,233.493,Medium grained sandstone,Raniganj,Sandstone (SST)
215.097,2,14.6609,2.32318,16.383,48.6274,7.24381,249.396,Gray shale,Raniganj,Grey Shale
216.197,2,14.6954,2.37793,9.56519,69.1083,7.1034,140.15,Coal,Raniganj,coal
217.197,2,14.7855,1.38693,15.9253,148.603,8.33645,83.452,Coal,Raniganj,coal
217.517,2,14.8323,1.44584,35.0998,152.142,8.53879,90.3664,Coal,Raniganj,coal
219.777,2,15.6792,2.35324,36.9296,56.4587,7.97223,196.156,Shaly sandstone,Raniganj,Sandstone (SST)
220.497,2,15.8768,2.43258,32.4456,62.2613,7.68896,174.721,Fine grained sandstone with Shale lamination,Raniganj,Sandstone (SST)
221.507,2,16.0177,2.39301,31.9879,64.2952,9.06487,181.636,Fine grained sandstone with shale streaks,Raniganj,Sandstone (SST)
221.877,2,16.0239,2.34326,37.1133,61.5635,10.5217,393.906,"Dark gray shale,broken and fractured with coal streaks",Raniganj,dgs
223.247,2,16.0022,2.16711,22.3319,66.2615,8.68043,209.985,Shaly Sandstone,Raniganj,Sandstone (SST)
224.297,2,15.9823,2.35676,22.929,60.2304,8.49832,215.516,"Shaly Coal, pyrite content, vitrain band",Raniganj,coal
225.297,2,15.9798,1.44804,11.1203,132.298,10.0766,77.9205,"Gray to dark gray shale,lamination of coal",Raniganj,dgs
225.447,2,15.9926,1.44607,13.4978,132.878,10.0766,85.5263,Sandy Shale,Raniganj,ss
225.947,2,16.064,1.58037,11.8067,94.5234,10.0766,155.361,Sandy Shale (Sample collected by CIMFR),Raniganj,ss
227.847,2,16.5084,2.32659,18.9923,47.1747,9.53026,209.985,Sandy Shale,Raniganj,ss
228.007,2,16.4985,2.34836,18.1223,47.8129,9.53026,185.093,Sandy Shale,Raniganj,ss
228.957,2,16.61,2.34462,16.703,48.2771,9.24784,190.624,Shaly Sandstone,Raniganj,Sandstone (SST)
229.447,2,16.862,2.37552,16.9321,45.3184,9.00417,209.985,Fine grained sandstone with shale lamination,Raniganj,Sandstone (SST)
233.947,2,19.5802,2.3522,20.1355,55.8792,8.61972,93.1321,Fine grained sandstone with shale lamination,Raniganj,Sandstone (SST)
238.447,2,19.2788,2.29874,21.005,59.7081,8.39715,139.458,"Fine to medium grained sandstone with shale lamination,coal streaks,feldspathic",Raniganj,Sandstone (SST)
242.947,2,20.1602,2.30584,20.6389,61.1588,7.26404,111.801,medium grained sandstone with shale lamination,Raniganj,Sandstone (SST)
244.447,2,19.3878,2.31671,22.927,56.6328,6.94029,130.47,medium grained sandstone with shale lamination,Raniganj,Sandstone (SST)
245.947,2,19.039,2.28684,25.2151,55.937,7.32474,105.578,"Medium grained sandstone, rounded and pebbly in nature",Raniganj,Sandstone (SST)
248.597,2,18.7334,2.26924,27.2287,70.3268,8.92323,87.6006,"Medium grained sandstone with shale streaks,micaceous",Raniganj,Sandstone (SST)
252.597,2,15.9658,2.38185,26.3599,77.4639,3.96588,84.1434,Fine to medium grained sandstone with lower part clayey,Raniganj,Sandstone (SST)
255.197,2,17.7294,2.2884,33.2675,64.4082,9.32792,107.652,"Fine grained sandstone with shale laminae at top, whitish",Raniganj,Sandstone (SST)
255.597,2,18.1537,2.26968,36.3351,63.8281,8.49832,110.418,Carbonaceous Shale ,Raniganj,Carb shale
256.197,2,18.7469,2.28098,36.6557,63.0736,8.53879,129.087,"Fine grained sandstone, whitish",Raniganj,Sandstone (SST)
256.477,2,19.0028,2.25598,31.303,65.6841,8.70066,105.578,"Fine grained sandstone, , sludge",Raniganj,Sandstone (SST)
256.847,2,19.2396,2.23571,29.3795,74.1565,7.54732,93.1321,"Fine grained sandstone, ",Raniganj,Sandstone (SST)
257.097,2,19.3417,2.0801,29.7453,70.6177,8.72089,95.2064,Sandy sludge,Raniganj,Sandstone (SST)
257.657,2,19.6952,2.25332,32.9947,69.6312,9.36839,120.789,Fine grained sandstone,Raniganj,Sandstone (SST)
257.747,2,19.7426,2.28381,34.6871,69.1084,9.36839,131.852,Sandy sludge,Raniganj,Sandstone (SST)
258.197,2,19.9023,2.27772,39.4472,68.4695,9.26721,97.9722,Fine grained sandstone,Raniganj,Sandstone (SST)
261.197,2,18.2284,2.31168,33.0862,68.2959,8.31621,95.8978,Fine grained sandstone,Raniganj,Sandstone (SST)
263.297,2,16.4705,2.40493,30.2483,68.6441,3.01488,160.201,Fine grained sandstone,Raniganj,Sandstone (SST)
266.097,2,16.8377,2.32354,26.1764,71.024,7.66872,127.012,Fine grained sandstone with shale laminae,Raniganj,Sandstone (SST)
266.597,2,17.2177,2.30474,26.4048,65.5126,7.00044,124.247,"Fine grained sandstone, rounded, clayey at bottom",Raniganj,Sandstone (SST)
267.597,2,17.9913,2.32411,26.0846,57.1538,6.59631,148.447,"Fine grained sandstone, rounded",Raniganj,Sandstone (SST)
270.997,2,17.3648,2.33953,25.5354,63.1316,6.45468,142.915,"Fine grained sandstone with shale streaks, micaceous",Raniganj,Sandstone (SST)
272.697,2,16.0232,2.33223,30.1117,68.6419,5.13946,165.733,Fine grained sandstone,Raniganj,Sandstone (SST)
275.997,2,14.8482,2.29683,40.1796,93.0123,10.5622,85.5263,Fine grained sandstone,Raniganj,Sandstone (SST)
278.997,2,17.1449,2.29944,49.8354,90.4036,12.9094,88.9835,"Medium grained sandstone,feldspathic,fine grained sandstone at the bottom",Raniganj,Sandstone (SST)
279.687,2,15.6744,2.21322,49.8811,85.7653,13.2129,97.2807,Medium grained sandstone,Raniganj,Sandstone (SST)
281.997,2,15.6141,2.27097,42.4663,67.7157,17.4216,117.332,Fine grained sandstone with coal streaks,Raniganj,Sandstone (SST)
284.997,2,12.097,2.38136,29.5171,76.1293,11.9179,106.961,Fine grained sandstone with shale laminae,Raniganj,Sandstone (SST)
285.727,2,12.9066,2.38276,24.4381,69.8088,12.8486,168.498,Fine grained sandstone with clay,Raniganj,Sandstone (SST)
286.637,2,12.4044,2.3569,21.005,52.2284,5.52391,251.471,Fine grained sandstone,Raniganj,Sandstone (SST)
287.397,2,12.8576,2.35038,20.0897,50.8886,4.77525,237.642,Sandy shale,Raniganj,ss
287.997,2,12.8377,2.33325,17.7101,52.9171,6.94029,259.768,Sandy Shale (Sample collected by CIMFR),Raniganj,ss
288.587,2,12.8642,2.39136,16.6576,59.5921,27.7034,202.379,Sandy shale,Raniganj,ss
289.967,2,12.413,2.37132,17.2067,56.2838,36.7147,220.356,Alterenate Shale and Sandstone,Raniganj,alt
291.397,2,12.4837,2.36367,17.8933,54.4859,34.1916,218.282,Sandy shale,Raniganj,ss
292.097,2,12.4894,2.37472,18.8541,55.2398,36.7147,245.939,Sandy shale,Raniganj,ss
292.367,2,12.4541,2.38919,18.3964,57.3291,36.7147,200.304,Sandy shale,Raniganj,ss
292.827,2,12.3128,2.37717,18.3507,54.4278,34.1916,233.493,Alterenate Shale and Sandstone,Raniganj,alt
293.327,2,12.2354,2.39755,18.7622,63.6539,32.7464,211.367,Alterenate Shale and Sandstone (Sample collected by CIMFR),Raniganj,alt
293.927,2,12.14,2.35592,20.0434,61.9711,41.7611,245.248,Alterenate Shale and Sandstone,Raniganj,alt
294.397,2,12.128,2.32129,21.2336,60.7526,51.8461,241.791,Sandy shale,Raniganj,ss
295.847,2,12.0827,2.31228,18.8999,60.4616,45.3656,251.471,Sandy shale,Raniganj,ss
296.997,2,12.3939,1.33943,45.854,231.514,45.3656,73.0805,Grey shale,Raniganj,Grey Shale
297.147,2,12.2288,1.34,120.379,243.185,47.8888,53.0289,Grey shale,Raniganj,Grey Shale
298.397,2,12.1896,1.37702,338.825,252.924,55.8187,57.1775,Coal,Raniganj,coal
299.187,2,12.0602,1.39841,301.941,229.67,42.8468,63.4004,Coal,Raniganj,coal
299.747,2,11.9586,1.42925,282.309,175.076,53.2868,75.1548,Coal (Sample collected by CIMFR),Raniganj,coal
300.997,2,12.0292,1.3428,276.912,199.259,55.8187,43.3488,Coal,Raniganj,coal
302.397,2,11.7423,1.35017,132.274,212.083,74.5623,48.8803,Coal ,Raniganj,coal
303.807,2,11.3724,2.06448,47.1811,80.1343,107.724,290.191,Coal ,Raniganj,coal
303.997,2,10.4883,2.15487,42.3801,75.7232,111.685,335.826,Shaly coal,Raniganj,coal
304.197,2,10.4926,2.24656,37.571,74.445,114.212,307.477,Carb. Shale,Raniganj,Carb shale
305.997,2,10.2558,2.30786,37.4779,108.682,135.548,141.533,Sandy shale with occasional streaks of coal,Raniganj,ss
306.997,2,10.4921,2.30973,37.6169,63.1283,127.333,250.779,Medium grained Sandstone,Raniganj,Sandstone (SST)
309.097,2,10.2973,2.39202,40.4082,81.1189,131.845,157.436,Sandy Shale,Raniganj,ss
309.997,2,10.4945,2.25112,51.4354,91.332,141.173,127.704,Intercalation sand>shale,Raniganj,Sandstone (SST)
312.997,2,10.2706,2.07057,53.8624,90.5196,135.287,145.681,Fine grained sandstone,Raniganj,Sandstone (SST)
315.997,2,10.1861,2.29403,56.3785,131.537,140.93,98.6636,Fine grained sandstone with shale laminae,Raniganj,Sandstone (SST)
316.647,2,10.2544,2.36895,55.1895,164.502,142.59,95.8978,Fine grained sandstone ,Raniganj,Sandstone (SST)
319.247,2,10.0497,2.33497,37.0676,82.7022,125.026,219.665,Medium grained Sandstone,Raniganj,Sandstone (SST)
319.947,2,9.98996,2.29416,29.8832,81.9276,125.209,193.39,Fine grained sandstone with shale laminae,Raniganj,Sandstone (SST)
320.197,2,9.98448,2.29887,29.4709,84.0243,124.804,200.996,Shale (Sandy),Raniganj,ss
320.597,2,9.96311,2.36783,28.327,75.552,124.682,200.996,Shale (Sandy),Raniganj,ss
322.197,2,9.8831,2.45842,24.7117,104.562,127.07,153.287,Intercalation sand<shale,Raniganj,ss
323.897,2,9.95708,2.39813,26.9542,72.5318,125.087,221.047,Intercalation sand>shale,Raniganj,Sandstone (SST)
324.697,2,9.9527,2.37414,25.9015,67.9478,124.278,221.047,Sandy shale,Raniganj,ss
327.297,2,9.99216,2.37725,25.5322,62.0838,123.893,243.173,Intercalation sand<shale,Raniganj,ss
328.097,2,9.98119,2.38109,17.801,65.2206,124.419,228.653,Sandy shale,Raniganj,ss
329.097,2,9.99106,2.38551,18.2586,62.8416,124.176,250.779,Intercalation sand<shale,Raniganj,ss
329.397,2,9.99818,2.32599,20.2728,62.2613,124.156,263.916,Fine grained sandstone,Raniganj,Sandstone (SST)
331.097,2,10.0102,2.39586,19.7694,57.2131,123.084,272.905,Intercalation sand<shale,Raniganj,ss
332.547,2,9.98722,2.40392,15.9253,62.2613,123.853,183.71,Intercalation sand<shale,Raniganj,ss
335.097,2,9.90009,2.36664,14.9648,48.4509,124.521,236.95,Sandy shale,Raniganj,ss
337.097,2,9.69075,2.39663,13.4542,55.2402,124.723,292.265,Dark grey Shale,Barren Measures,dgs
337.747,2,9.62006,2.37634,12.947,52.1666,124.359,280.511,Dark grey Shale,Barren Measures,dgs
341.597,2,9.51101,2.34498,13.546,58.3154,124.642,206.527,Dark grey Shale,Barren Measures,dgs
345.297,2,9.40963,2.2764,12.2186,51.8747,124.906,263.916,Dark grey Shale,Barren Measures,dgs
345.797,2,9.44799,2.3148,12.5389,51.3525,124.763,236.95,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
350.297,2,9.49621,2.31438,11.4406,50.8301,124.844,263.225,Dark grey Shale,Barren Measures,dgs
354.797,2,9.41127,2.35077,12.8135,57.8508,124.602,247.322,Dark grey Shale,Barren Measures,dgs
359.297,2,9.42881,2.31086,13.2265,49.8438,125.107,267.374,Dark grey Shale,Barren Measures,dgs
363.797,2,9.40141,2.33015,11.395,51.9964,124.055,231.419,Dark grey Shale,Barren Measures,dgs
368.297,2,9.30606,2.38946,11.166,52.2816,123.529,259.768,Dark grey Shale,Barren Measures,dgs
369.347,2,9.38716,2.34934,12.2641,51.1204,123.731,297.105,Dark grey Shale,Barren Measures,dgs
369.847,2,9.37675,2.3779,12.4016,47.4066,124.096,283.968,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
372.697,2,9.42552,2.40832,11.8981,50.3661,124.237,332.368,Dark grey Shale,Barren Measures,dgs
376.297,2,9.42881,2.3807,9.7474,46.5983,123.671,244.556,Dark grey Shale,Barren Measures,dgs
380.797,2,9.45018,2.24237,8.19232,38.5869,125.37,247.322,Dark grey Shale,Barren Measures,dgs
383.297,2,9.42881,1.99374,9.33624,42.5907,127.657,231.419,Dark grey Shale,Barren Measures,dgs
385.3,2,9.43812,2.31595,8.42029,44.2154,125.128,270.831,Dark grey Shale,Barren Measures,dgs
385.98,2,9.29784,2.32011,8.51181,45.0857,124.946,264.608,Dark grey Shale,Barren Measures,dgs
386.49,2,9.32414,2.39782,8.74063,47.9272,123.206,230.036,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
388.3,2,8.472,2.32683,8.10009,43.3439,122.578,278.437,Dark grey Shale,Barren Measures,dgs
390.6,2,8.55146,2.3209,7.59656,42.4744,120.939,277.054,Dark grey shale,Barren Measures,dgs
391.1,2,8.57502,2.26035,7.5508,41.6039,120.939,284.659,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
394.8,2,8.42596,2.35745,8.19148,43.285,120.777,283.277,Dark grey shale,Barren Measures,dgs
397.6,2,8.21005,2.43641,8.46605,43.2292,120.899,310.934,Dark grey shale,Barren Measures,dgs
398.3,2,8.21663,2.32177,8.19148,45.7235,120.858,234.185,Dark grey shale,Barren Measures,dgs
402.8,2,8.2369,2.35673,7.5967,43.1709,120.312,250.088,Dark grey shale,Barren Measures,dgs
403.3,2,8.23471,2.32671,7.64233,41.5469,120.049,250.088,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
404.3,2,8.23636,2.36776,7.50462,41.14,120.271,303.328,Dark grey shale,Barren Measures,dgs
408.8,2,8.56132,2.27554,7.5508,43.9231,119.887,295.722,Dark grey shale,Barren Measures,dgs
410.63,2,8.10648,2.01135,8.23724,44.2748,119.563,290.882,Dark grey shale,Barren Measures,dgs
411.14,2,8.83149,2.19773,8.32862,47.9831,120.514,313.7,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
412.6,2,8.05442,2.26784,9.5188,46.9413,118.956,276.362,Dark grey shale,Barren Measures,dgs
417.1,2,8.21553,2.22923,9.24408,50.8883,118.855,223.813,Dark grey shale,Barren Measures,dgs
420.9,2,7.78151,2.32242,8.73979,51.0042,119.056,213.442,Dark grey shale,Barren Measures,dgs
423.05,2,7.74644,2.2995,7.09318,45.6082,118.956,306.094,Dark grey shale,Barren Measures,dgs
423.6,2,7.72726,2.52588,7.59656,80.8217,118.509,250.088,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
427.1,2,7.70863,2.35509,8.37453,60.6908,118.208,326.146,Dark grey shale,Barren Measures,dgs
431.6,2,7.72452,2.33445,12.0355,51.2933,118.086,327.528,Dark grey shale,Barren Measures,dgs
436.1,2,7.72562,2.35242,11.7151,59.7053,117.58,261.842,Dark grey shale,Barren Measures,dgs
436.62,2,7.75028,2.4029,12.0814,58.8397,116.467,309.551,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
439.2,2,7.76617,2.33877,11.669,50.4241,115.941,375.237,Dark grey shale,Barren Measures,dgs
442.1,2,7.76781,2.32644,9.79316,47.1746,115.253,277.745,Dark grey shale,Barren Measures,dgs
446.6,2,7.76233,2.34186,8.92368,43.6931,114.141,216.899,Dark grey shale,Barren Measures,dgs
448.15,2,7.77384,2.26779,8.87791,44.4475,113.655,251.471,Dark grey shale,Barren Measures,dgs
448.65,2,7.76727,2.23508,8.96951,43.8091,113.917,266.682,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
451.1,2,7.74863,2.33585,9.6558,43.5191,112.603,299.18,Dark grey shale,Barren Measures,dgs
455.1,2,7.72397,2.25224,8.83215,47.4648,112.198,260.459,Dark grey shale,Barren Measures,dgs
458.2,2,7.63026,2.34196,8.42043,51.2945,111.591,239.716,Dark grey shale,Barren Measures,dgs
462.7,2,7.70096,2.34059,7.96266,41.3716,110.883,288.808,Dark grey shale,Barren Measures,dgs
463.25,2,7.69164,2.32895,7.9169,39.5153,111.024,294.34,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
467.2,2,7.64506,2.29764,8.23724,36.0338,110.66,301.945,Dark grey shale,Barren Measures,dgs
471.7,2,7.71411,2.36009,8.19148,37.9486,110.863,290.882,Dark grey shale,Barren Measures,dgs
476.2,2,7.71904,2.41372,7.68795,41.6042,111.126,278.437,Dark grey shale,Barren Measures,dgs
478.7,2,7.71247,2.41248,7.87156,40.0952,111.308,233.493,Dark grey shale,Barren Measures,dgs
479.2,2,7.71192,2.37093,8.19148,37.0225,111.874,234.185,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
482.3,2,7.74644,2.324,8.42043,44.7931,112.077,286.042,Dark grey shale,Barren Measures,dgs
482.8,2,7.74754,2.34918,8.23724,43.9252,111.975,273.596,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
484.8,2,7.73493,2.32121,8.28314,34.2944,112.684,286.042,Dark grey shale,Barren Measures,dgs
489.3,2,7.70096,2.36966,7.45928,36.6721,112.582,241.099,Dark grey shale,Barren Measures,dgs
493.08,2,7.71849,2.32344,7.32227,37.6562,111.874,277.054,Dark grey shale,Barren Measures,dgs
493.08,2,7.71849,2.32344,7.32227,37.6562,111.874,277.054,Dark grey shale,Barren Measures,dgs
493.08,2,7.71849,2.32344,7.32227,37.6562,111.874,277.054,Dark grey shale,Barren Measures,dgs
493.63,2,7.72069,2.31762,6.95589,36.0363,112.178,283.277,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
493.8,2,7.72343,2.30004,6.95589,34.8731,112.279,288.117,Dark grey shale,Barren Measures,dgs
504.05,2,7.89933,2.28604,8.87791,32.7263,111.712,320.614,Dark grey shale,Barren Measures,dgs
504.67,2,7.90975,2.30813,8.87791,28.491,112.34,252.162,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
505.6,2,7.89166,2.29642,8.55758,32.9015,111.267,274.288,Dark grey shale,Barren Measures,dgs
509.6,2,7.74973,2.34549,9.0152,34.0029,110.863,316.465,Dark grey shale,Barren Measures,dgs
511.1,2,7.68178,2.34883,8.83215,32.9579,110.883,281.894,Dark grey shale,Barren Measures,dgs
513.6,2,7.80234,2.34071,9.56407,32.9013,110.357,236.259,Dark grey shale,Barren Measures,dgs
516.91,2,8.04565,2.30856,8.78639,28.8386,110.114,234.876,Dark grey shale,Barren Measures,dgs
517.41,2,7.74644,2.26321,9.10673,30.9291,110.154,308.86,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
517.5,2,7.73493,2.29496,8.96944,30.1745,109.832,297.797,Dark grey shale,Barren Measures,dgs
521.5,2,7.6889,2.37901,9.65587,36.2659,109.568,307.477,Dark grey shale,Barren Measures,dgs
524.5,2,7.68781,2.39756,9.79316,39.1091,109.75,306.094,Dark grey shale,Barren Measures,dgs
526,2,7.70753,2.35606,10.1135,38.1791,109.628,290.882,Dark grey shale,Barren Measures,dgs
530.5,2,7.65164,2.40115,10.7999,37.5462,109.446,233.493,Dark grey shale,Barren Measures,dgs
534.3,2,7.68178,2.34892,10.7536,41.5462,110.337,240.408,Dark grey shale,Barren Measures,dgs
537.74,2,7.61415,2.46519,10.1136,44.5055,110.114,253.545,Dark grey shale,Barren Measures,dgs
538.24,2,7.61344,2.35333,10.2508,38.1227,110.214,295.031,Dark grey shale,Barren Measures,dgs
538.55,2,7.61415,2.35234,10.3879,37.4253,110.438,267.374,Dark grey shale,Barren Measures,dgs
539.55,2,7.60849,2.32364,9.33568,38.9934,110.276,246.631,Dark grey shale,Barren Measures,dgs
544.05,2,7.6204,2.37409,11.1203,45.1484,110.6,260.459,Dark grey shale,Barren Measures,dgs
548.55,2,7.60778,2.39647,11.8526,44.5635,111.51,247.322,Dark grey shale,Barren Measures,dgs
551.85,2,7.61203,2.37094,12.2643,45.321,112.684,255.619,Dark grey shale,Barren Measures,dgs
552.8,2,7.59859,2.39021,11.0745,49.7858,112.34,273.596,Dark grey shale,Barren Measures,dgs
553.3,2,7.59859,2.44772,10.6626,45.724,113.028,259.076,Dark grey shale,Barren Measures,dgs
553.35,2,7.59859,2.3955,10.5713,45.6655,113.028,286.042,Dark grey shale,Barren Measures,dgs
556.85,2,7.60708,2.25814,10.7999,44.5626,113.533,265.991,Dark grey shale,Barren Measures,dgs
560.27,2,7.64451,2.35545,11.2117,42.8283,113.756,245.939,Dark grey shale,Barren Measures,dgs
560.8,2,7.64232,2.48395,11.5779,54.2702,113.473,169.19,Dark grey shale,Barren Measures,dgs
561.05,2,7.64287,2.459,11.6696,57.7353,113.513,254.928,Dark grey shale,Barren Measures,dgs
565.55,2,7.64232,2.39612,11.1207,52.3389,113.716,256.311,Dark grey shale,Barren Measures,dgs
566.05,2,7.64342,2.31283,11.2574,45.8981,114.363,255.619,Dark grey shale,Barren Measures,dgs
570.05,2,7.66369,2.32373,10.5255,44.2154,114.505,291.574,Dark grey shale,Barren Measures,dgs
574.55,2,7.66424,2.29938,10.9372,42.0104,114.97,264.608,Dark grey shale,Barren Measures,dgs
574.73,2,7.66315,2.31353,11.0287,44.3871,114.727,220.356,Dark grey shale,Barren Measures,dgs
575.23,2,7.66534,2.35895,10.7084,40.5612,115.031,225.888,Dark grey shale,Barren Measures,dgs
576.05,2,7.63958,2.38967,10.0216,48.045,115.618,260.459,Dark grey shale,Barren Measures,dgs
580.55,2,7.63684,2.36899,10.6626,42.4166,115.456,280.511,Dark grey shale,Barren Measures,dgs
581.05,2,7.64013,2.43758,10.7998,45.608,115.092,202.379,Dark grey shale,Barren Measures,dgs
585.05,2,7.66534,2.37941,11.3948,54.4264,115.132,275.671,Dark grey shale,Barren Measures,dgs
589.55,2,7.66753,2.30861,12.2186,47.929,115.941,308.168,Dark grey shale,Barren Measures,dgs
589.69,2,7.66808,2.30961,12.2187,47.639,115.699,274.979,Dark grey shale,Barren Measures,dgs
590.22,2,7.66588,2.33281,12.3101,48.6265,115.456,284.659,Dark grey shale,Barren Measures,dgs
594.05,2,7.66205,2.29388,13.7741,52.1648,115.011,288.117,Dark grey shale,Barren Measures,dgs
598.55,2,7.67082,2.25497,14.4608,55.4143,114.626,308.86,Dark grey shale,Barren Measures,dgs
598.64,2,7.67137,2.25077,14.5525,55.7624,114.687,301.254,Dark grey shale,Barren Measures,dgs
599.14,2,7.67082,2.24435,14.7355,58.4896,114.262,301.945,Dark grey shale,Barren Measures,dgs
603.05,2,7.67411,2.31602,14.964,54.5451,114.141,255.619,Dark grey shale,Barren Measures,dgs
607.55,2,7.68342,2.31869,12.8139,49.2646,113.898,259.768,Dark grey shale,Barren Measures,dgs
611.35,2,7.68342,2.29293,11.715,49.5544,113.695,247.322,Dark grey shale,Barren Measures,dgs
611.88,2,7.69,2.293,11.7612,49.8438,113.756,248.013,Dark grey shale,Barren Measures,dgs
612.05,2,7.69274,2.28926,11.8526,49.0895,113.756,239.716,Dark grey shale,Barren Measures,dgs
616.55,2,7.68945,2.36508,11.807,49.09,113.816,265.991,Dark grey shale,Barren Measures,dgs
620.45,2,7.68287,2.30088,12.5388,43.6935,113.635,200.996,Dark grey shale,Barren Measures,dgs
620.95,2,7.68342,2.34795,13.2711,44.9117,113.432,219.665,Dark grey shale,Barren Measures,dgs
621,2,7.68233,2.3408,13.2711,45.5499,113.432,225.196,Dark grey shale,Barren Measures,dgs
625.3,2,7.68233,2.31617,16.2914,54.1377,112.805,250.088,Dark grey shale,Barren Measures,dgs
629,2,7.70151,2.35319,14.827,58.3162,112.947,216.899,Dark grey shale,Barren Measures,dgs
