DEPT[M],WELL,CALIPER[MM],DEN[GM/CC],RES(64N),RES[OHM],SP[MV],GAM[API],LITHOLOGY DESCRIPTION,Formation,Classified
51.8,2,13.468,2.2715,32.1252,112.291,38.2627,160.201,"Sandstone , Feldspar clast",Raniganj,Sandstone (SST)
52.15,2,13.5227,2.36068,30.7066,81.7532,37.251,259.768,"Very coarse grained Sandstone ,gritty , Whitish",Raniganj,Sandstone (SST)
52.3,2,13.5338,2.36678,31.0724,87.5023,38.0806,244.556,"Very coarse grained Sandstone ,gritty , Whitish",Raniganj,Sandstone (SST)
53.65,2,13.5532,2.30092,29.9744,61.7888,37.5342,232.11,Shaly Sandstone,Raniganj,Sandstone (SST)
54.21,2,13.4936,2.27072,31.5761,128.051,38.3031,307.477,Sandy Shale,Raniganj,ss
54.657,2,13.4909,2.26182,29.1049,102.312,38.1413,298.488,Shaly Sandstone,Raniganj,Sandstone (SST)
55.017,2,13.4949,2.28332,34.7795,108.512,37.6354,244.556,"Very coarse grained Sandstone ,gritty , with quartz pebbles ,whitish",Raniganj,Sandstone (SST)
55.697,2,13.2551,2.31467,37.9371,71.5325,37.5949,279.819,"Fine grained Sandstone , Greyish white , with shale lamination",Raniganj,Sandstone (SST)
55.967,2,13.184,2.30052,36.3354,111.974,39.7802,208.602,Shaly Sandstone,Raniganj,Sandstone (SST)
56.147,2,13.157,2.25442,36.0596,124.929,38.5864,190.624,Grey Shale,Raniganj,Grey Shale
56.487,2,13.1403,2.27106,35.2371,108.809,37.2712,196.156,Shaly Sandstone,Raniganj,Sandstone (SST)
56.937,2,13.1517,2.15062,23.7049,68.0922,36.4214,216.899,"Very Coarse grained Sandstone , with Shale lamination, Quartz Pebbles",Raniganj,Sandstone (SST)
57.517,2,13.1297,1.62621,14.9642,124.639,36.7852,126.321,Fine grained Sandstone with shale lamination and shale band(0.06 cm ),Raniganj,Sandstone (SST)
57.887,2,13.0877,1.90958,15.8796,85.1988,36.4011,227.27,Grey Shale,Raniganj,Grey Shale
58.067,2,12.957,2.10485,17.479,71.3713,36.4618,268.756,Carbonaceous Shale ,Raniganj,Carb shale
58.147,2,12.9358,2.16335,19.7651,70.2688,36.4618,268.756,"Coal , broken ",Raniganj,coal
58.457,2,12.9035,2.28039,32.0337,68.9344,36.4821,289.499,"Coal, bright band",Raniganj,coal
59.247,2,12.8143,2.30904,46.4489,85.9953,36.3809,231.419,Grey Shale,Raniganj,Grey Shale
59.867,2,12.5834,2.36313,43.1518,104.098,35.7334,152.595,Fine grained Sandstone with  shale band,Raniganj,alt
59.967,2,12.5467,2.39405,43.9319,109.082,35.6727,142.915,Sandy Shale,Raniganj,ss
60.207,2,12.4923,2.47656,45.2591,138.257,34.5598,109.727,Shaly sandstone,Raniganj,Sandstone (SST)
62.647,2,14.4427,2.16411,44.3438,99.0588,35.1264,142.224,"Fine grained Sandstone , whitish ",Raniganj,Sandstone (SST)
63.237,2,14.7762,2.33955,38.4888,82.0479,35.4299,214.825,"Fine grained Sandstone , whitish ",Raniganj,Sandstone (SST)
63.357,2,14.8508,2.35187,35.4678,81.6998,35.0657,203.762,Grey Shale,Raniganj,Grey Shale
63.567,2,14.9727,2.33494,35.694,83.5519,34.5801,176.104,Sandy Shale,Raniganj,ss
64.187,2,15.1529,2.28139,36.244,67.3675,34.9847,229.345,Shaly Sandstone,Raniganj,Sandstone (SST)
64.797,2,15.2848,2.35711,36.4269,81.759,34.3777,218.282,Sandy Shale,Raniganj,ss
65.787,2,15.2657,2.18109,12.8135,67.9524,34.2159,255.619,Shaly Sandstone,Raniganj,Sandstone (SST)
66.367,2,15.3385,1.92723,12.6311,76.9417,33.0827,198.23,Sandy Shale,Raniganj,ss
66.547,2,15.4198,2.17104,12.1728,66.8987,33.1839,188.55,Dark Grey Shale,Raniganj,dgs
66.737,2,15.4828,2.31251,12.4927,73.5182,32.6376,189.242,"Coal , Vitrian light band",Raniganj,coal
66.767,2,15.5078,2.33264,12.9952,74.2725,32.6376,186.476,Grey Shale,Raniganj,Grey Shale
66.877,2,15.5309,2.36296,15.0101,73.8101,32.6376,196.847,Carbonaceous Shale With Sandstone band,Raniganj,alt
67.147,2,15.5585,2.369,28.9676,83.1455,32.5364,158.818,Sandy Shale,Raniganj,ss
67.617,2,15.6825,2.36564,30.2039,78.9146,32.7777,161.584,Sandy Shale,Raniganj,ss
68.117,2,15.776,2.29887,28.6473,68.641,32.7995,208.602,Shaly Sandstone,Raniganj,Sandstone (SST)
68.637,2,15.8054,2.35753,25.3066,69.1657,32.1115,187.167,Sandy Shale,Raniganj,ss
69.627,2,15.7153,2.16671,22.8355,45.1467,32.9411,222.43,Shaly Sandstone With Shale band,Raniganj,alt
69.917,2,15.6395,1.93829,24.3456,44.0399,33.9528,180.253,Sandy Shale,Raniganj,ss
70.827,2,15.3308,1.94423,10.9397,93.6,31.2212,118.024,Dark Grey Shale,Raniganj,dgs
71.267,2,15.3378,1.73275,7.59644,92.3384,31.0189,137.384,"Fine grained Sandstone, whitish , Shale lamination",Raniganj,Sandstone (SST)
71.647,2,15.5346,1.66121,8.74063,103.495,30.7761,144.298,Shaly Coal,Raniganj,coal
71.857,2,15.4393,1.77,11.4864,104.401,29.9869,153.287,Coal,Raniganj,coal
72.027,2,15.457,2.04923,16.1053,78.2183,29.0764,216.899,Grey Shale,Raniganj,Grey Shale
72.457,2,15.2183,2.33784,26.9998,78.3351,28.9955,187.167,Coal,Raniganj,coal
73.067,2,15.0262,2.33408,32.2193,74.5046,28.955,167.116,Sandy Shale,Raniganj,ss
73.657,2,14.7731,2.46701,27.732,100.43,28.9348,127.704,"Fine grained Sandstone, whitish , Shale lamination",Raniganj,Sandstone (SST)
