Depth (m),LITHOLOGY DESCRIPTION,Formation,CLASSIFIED LITHOLOGY
688.05,Dark grey shale,Barren Measures,dgs
688.5,Dark grey shale,Barren Measures,dgs
693,Dark grey shale,Barren Measures,dgs
697.5,Dark grey shale,Barren Measures,dgs
697.59,Dark grey shale,Barren Measures,dgs
698.09,Dark grey shale,Barren Measures,dgs
702,Dark grey shale,Barren Measures,dgs
706.5,Dark grey shale,Barren Measures,dgs
711,Dark grey shale,Barren Measures,dgs
715.5,Dark grey shale,Barren Measures,dgs
720,Dark grey shale,Barren Measures,dgs
720.5,Dark grey shale,Barren Measures,dgs
724.5,Dark grey shale,Barren Measures,dgs
726.96,Dark grey shale,Barakar,dgs
729,Medium - Coarse grained Sandstone with occasional shale streaks,Barakar,Sandstone (SST)
732,Medium grained sandstone with shale lamination,Barakar,Sandstone (SST)
735,"Coarse grained Sandstone , with Shale bands",Barakar,Sandstone (SST)
736,"Medium grained Sandstone, micaceous, shale laminae",Barakar,Sandstone (SST)
738,"Medium grained Sandstone, micaceous",Barakar,Sandstone (SST)
742,Medium grained sandstone with shale laminae and bands,Barakar,Sandstone (SST)
746.5,"Medium grained Sandstone, micaceous",Barakar,Sandstone (SST)
751,Fine grained Sandstone  with Shale laminae,Barakar,Sandstone (SST)
752.6,Fine grained Sandstone,Barakar,Sandstone (SST)
752.9,Sandy Shale,Barakar,ss
755.1,Fine grained Sandstone,Barakar,Sandstone (SST)
755.5,Sandy Shale,Barakar,ss
760,Medium grained sandstone with shale lamination,Barakar,Sandstone (SST)
763.84,Medium grained Sandstone,Barakar,Sandstone (SST)
764.5,Sandy Shale,Barakar,ss
765.15,Gray shale,Barakar,gs
769,Medium grained sandstone with shale streaks,Barakar,Sandstone (SST)
769.42,Intercalation sand>shale,Barakar,Sandstone (SST)
770.85,Sandy Shale,Barakar,ss
771,Fine grained Sandstone,Barakar,Sandstone (SST)
775.5,Medium grained sandstone with shale laminae at middle,Barakar,Sandstone (SST)
776.5,Fine grained sandstone with shale lamination and bands,Barakar,Sandstone (SST)
777.16,Sandy Shale,Barakar,ss
781,"Medium grained Sandstone ,micaceous",Barakar,Sandstone (SST)
785.5,Medium grained Sandstone with Shale bands,Barakar,Sandstone (SST)
790,Medium - Coarse grained Sandstone ,Barakar,Sandstone (SST)
790.8,Medium grained Sandstone,Barakar,Sandstone (SST)
792,Medium grained Sandstone,Barakar,Sandstone (SST)
792.71,Alterenate Shale and Sandstone,Barakar,alt
793.01,Fine grained Sandstone,Barakar,Sandstone (SST)
793.45,Intercalation sand<shale,Barakar,ss
794.11,Dark gray Shale,Barakar,dgs
794.55,Coarse grained Sandstone,Barakar,Sandstone (SST)
794.82,Dark gray Shale,Barakar,dgs
796.5,"Medium grained Sandstone, micaceous, shale streaks",Barakar,Sandstone (SST)
797.95,Medium - Coarse Sandstone with Shale lamination,Barakar,Sandstone (SST)
798.49,Intercalation sand<shale,Barakar,ss
800.02,Dark gray Shale,Barakar,dgs
800.3,Shaly Sandstone,Barakar,Sandstone (SST)
800.6,Medium grained Sandstone,Barakar,Sandstone (SST)
801,Dark gray Shale,Barakar,dgs
804.25,Shaly Sandstone,Barakar,Sandstone (SST)
805.09,Gray shale with sand band,Barakar,gs
805.5,Shaly Sandstone,Barakar,Sandstone (SST)
805.89,Medium grained Sandstone,Barakar,Sandstone (SST)
807.27,Sandy Shale,Barakar,ss
810,Medium grained Sandstone,Barakar,Sandstone (SST)
812.4,Medium grained Sandstone,Barakar,Sandstone (SST)
814.5,"Fine to medium grained Sandstone with streaks and laminae of shale, micaceous",Barakar,Sandstone (SST)
815.27,"Medium grained Sandstone, micaceous",Barakar,Sandstone (SST)
817.2,Grey Shale with Sandstone bands,Barakar,gs
819,Medium grained Sandstone ,Barakar,Sandstone (SST)
819.09,Medium grained Sandstone,Barakar,Sandstone (SST)
819.97,Shaly Sandstone,Barakar,Sandstone (SST)
820.87,Dark gray Shale,Barakar,dgs
821.03,Shaly Coal,Barakar,coal
821.53,Medium - Coarse grained Sandstone with coal streaks,Barakar,Sandstone (SST)
823,Gray shale,Barakar,gs
823.32,Sandy shale ,Barakar,ss
823.47,Carbonaceous shale,Barakar,carb shale
825.19,"Medium - Coarse grained Sandstone , Gritty",Barakar,Sandstone (SST)
825.78,Medium - Coarse grained Sandstone ,Barakar,Sandstone (SST)
827,Fine grained Sandstone  with Shale laminae,Barakar,Sandstone (SST)
827.27,Fine grained Sandstone,Barakar,Sandstone (SST)
829.83,Gray shale,Barakar,gs
830.6,Medium grained Sandstone,Barakar,Sandstone (SST)
830.99,Sandy Shale,Barakar,ss
831.5,Medium grained Sandstone,Barakar,Sandstone (SST)
832.75,Fine grained Sandstone,Barakar,Sandstone (SST)
834,Shaly Sandstone,Barakar,Sandstone (SST)
835,Sandy Shale,Barakar,ss
836,Dark gray Shale,Barakar,dgs
836.7,Dark gray Shale,Barakar,dgs
837.2,Dark gray Shale,Barakar,dgs
838.8,Dark gray Shale,Barakar,dgs
840,Fine grained Sandstone,Barakar,Sandstone (SST)
840.27,Fine grained Sandstone  with Shale band at top,Barakar,Sandstone (SST)
840.56,Dark gray Shale,Barakar,dgs
841.57,Fine grained Sandstone  with Shale streaks,Barakar,Sandstone (SST)
842.03,Sandy Shale,Barakar,ss
842.37,Dark gray Shale,Barakar,dgs
843.37,Fine to medium grained Sandstone,Barakar,Sandstone (SST)
843.63,Dark gray Shale,Barakar,dgs
843.96,Sandy Shale,Barakar,ss
844.5,Medium - Coarse grained Sandstone ,Barakar,Sandstone (SST)
845.82,Alterenate Shale and Sandstone(pebbly),Barakar,alt
846.02,Dark gray Shale,Barakar,dgs
849,Fine to medium grained Sandstone,Barakar,Sandstone (SST)
851.44,Fine to medium grained Sandstone,Barakar,Sandstone (SST)
851.6,"Coal, pyritic",Barakar,Coal
853.5,Granular sandstone,Barakar,Sandstone (SST)
854.22,Granular sandstone with coal bands,Barakar,Sandstone (SST)
854.34,Shaly coal ,Barakar,coal
854.41,Coal,Barakar,coal
855.96,Fine grained Sandstone with shale bands and laminae,Barakar,Sandstone (SST)
856.19,Sandy Shale,Barakar,ss
858,"Coarse grained Sandstone , with Shale laminae",Barakar,Sandstone (SST)
859.32,Coarse to fine grained sandstone with shale ;aminae,Barakar,Sandstone (SST)
859.89,Grey Shale,Barakar,gs
860,Coal,Barakar,coal
860.32,"Coal, pyritic",Barakar,Coal
861.64,Medium - Coarse grained Sandstone  with shale laminae and bands,Barakar,Sandstone (SST)
861.76,Carbonaceous shale,Barakar,carb shale
862.19,Shaly coal ,Barakar,coal
862.34,Coal,Barakar,coal
862.45,Sandstone (pebbles),Barakar,Sandstone (SST)
862.83,Coal,Barakar,coal
863,Carbonaceous shale,Barakar,carb shale
863.79,Coarse grained Sandstone with secondary mineralization,Barakar,Sandstone (SST)
863.91,Shaly coal ,Barakar,coal
864.18,Gray shale with coal streaks,Barakar,gs
864.45,Sandy Shale,Barakar,ss
865.37,"Medium grained sandstone with shale laminae, micaceous",Barakar,Sandstone (SST)
865.67,Shaly Coal,Barakar,coal
866.55,Grey Shale ,Barakar,gs
866.91,Coarse grained Sandstone with secondary mineralization,Barakar,Sandstone (SST)
867.23,Intercalation sand<shale,Barakar,ss
867.5,Coarse grained Sandstone with secondary mineralization,Barakar,Sandstone (SST)
867.7,Carbonaceous Shale,Barakar,carb shale
867.75,Shaly Coal,Barakar,coal
867.85,Sandy Shale,Barakar,ss
867.95,Medium grained sandstone,Barakar,Sandstone (SST)
868.05,Fine grained sandstone with shale laminae,Barakar,Sandstone (SST)
868.45,Coarse grained sandstone( Conglomeratic),Barakar,Sandstone (SST)
868.7,Dark grey shale with coal streaks,Barakar,dgs
869.2,Dark grey shale,Barakar,dgs
869.58,Coal,Barakar,coal
870.35,Dark grey shale ,Barakar,dgs
872,Dark grey shale with secondary mineralisation,Barakar,dgs
872.9,Dark gray Shale,Barakar,dgs
876,Medium grained to coarse grained sandstone,Barakar,Sandstone (SST)
876.11,Dark grey Shale with coal band,Barakar,dgs
876.5,Coarse grained sansstone with white secondary  mineralisition,Barakar,Sandstone (SST)
876.7,Dark grey Shale,Barakar,dgs
878.9,Coarse to very coarse grained sandstone with shale at bottom,Barakar,Sandstone (SST)
879.4,Dark grey shale,Barakar,dgs
880,Coarse grained Sandstone,Barakar,Sandstone (SST)
880.06,Dark grey Shale,Barakar,dgs
881,Coarse to very Coarse grained Sandstone (gritty),Barakar,Sandstone (SST)
882.18,Coarse grained Sandstone (Pebbly),Barakar,Sandstone (SST)
884,Dark Grey Shale with white secondary mineralisation,Barakar,dgs
884.43,Shaly Sandstone,Barakar,Sandstone (SST)
884.93,Dark grey shale,Barakar,dgs
886.68,Coarse grained Sandstone,Barakar,Sandstone (SST)
887.12,Ferruginous Sandstone,Talchir,Sandstone (SST)
888.5,Coarse grained Sandstone (Pebbly) Conglomeratic,Talchir,Sandstone (SST)
888.58,Fine grained Sandstone,Talchir,Sandstone (SST)
888.77,Ferruginous Sandstone,Talchir,Sandstone (SST)
893,Coarse grained Sandstone (Pebbly) Conglomeratic with Ferruginous at places,Talchir,Sandstone (SST)
893.75,Ferruginous Sandstone,Talchir,Sandstone (SST)
896,Fine grained Sandstone (Pebbly) Conglomeratic,Talchir,Sandstone (SST)
900.5,Fine grained Sandstone (Pebbly) Conglomeratic,Talchir,Sandstone (SST)
902.2,Fine grained Sandstone (Pebbly) Conglomeratic,Talchir,Sandstone (SST)
904.2,Fine grained Sandstone (Pebbly) Conglomeratic,Talchir,Sandstone (SST)
908.7,Fine grained Sandstone (Pebbly) Conglomeratic,Talchir,Sandstone (SST)
912.7,Fine grained Sandstone (Pebbly) Conglomeratic,Talchir,Sandstone (SST)
914.6,Fine grained Sandstone (Pebbly) Conglomeratic,Talchir,Sandstone (SST)
917.2,"Metamorphics,Schist",Metamorphic,m
