Depth (m),LITHOLOGY DESCRIPTION,Formation,CLASSIFIED LITHOLOGY
74.647,Sandy Shale,Raniganj,ss
75.447,Sandy Shale,Raniganj,ss
78.677,"Fine grained Sandstone with shale lamination , whitish",Raniganj,Sandstone (SST)
79.147,Sandy Shale,Raniganj,ss
79.477,"Grey Shale , Broken at Bottom",Raniganj,gs
79.887,"Dark Grey Shale , Broken at top , ",Raniganj,dgs
80.257,Shaly Sandstone,Raniganj,Sandstone (SST)
80.497,Grey Shale,Raniganj,gs
80.607,Shaly Coal with carb shale band,Raniganj,coal
80.747,Grey Shale,Raniganj,gs
81.267,Coal with 0.03cm  Shale band,Raniganj,coal
81.347,Carbonaceous shale ,Raniganj,carb shale
81.417,Carbonaceous shale with shale band,Raniganj, carb shale
81.677,Coal,Raniganj,coal
81.797,Carbonaceous shale,Raniganj,carb shale
82.307,Dark Grey Shale,Raniganj,dgs
82.507,Coal,Raniganj,coal
83.067,Shaly Sandstone with Shale lamination,Raniganj,Sandstone (SST)
83.647,Sandy Shale,Raniganj,ss
84.167,Sandy Shale with Shaly sandstone,Raniganj,alt
84.297,Dark grey Shale,Raniganj,dgs
84.367,Carbonaceous shale ,Raniganj,carb shale
84.847,Coal ,Raniganj,coal
85.787,Sandy shale ,Raniganj,ss
86.687,"Shaly sandstone , with shale lamination",Raniganj,Sandstone (SST)
87.737,Sandy Shale ,Raniganj,ss
87.787,Dark Grey Shale,Raniganj,dgs
87.937,Shaly Coal,Raniganj,coal
88.147,Coal,Raniganj,coal
88.247,Grey Shale,Raniganj,gs
88.367,Coal,Raniganj,coal
88.587,Shaly Sandstone,Raniganj,Sandstone (SST)
88.787,Sandy Shale,Raniganj,ss
88.927,Carbonaceous Shale with Shaly coal band,Raniganj,carb shale
89.977,Shaly coal ,Raniganj,coal
90.057,Grey Shale,Raniganj,gs
90.197,Coal,Raniganj,coal
90.627,Grey Shale,Raniganj,gs
90.747,Coal,Raniganj,coal
90.867,Fine grained Sandstone  with Shale,Raniganj,Sandstone (SST)
91.097,Dark Grey Shale,Raniganj,dgs
91.877,Sandy Shale,Raniganj,ss
92.647,"Fine grained Sandstone with shale lamination ,whitish",Raniganj,Sandstone (SST)
97.147,"Fine grained Sandstone with shale lamination ,whitish, ",Raniganj,Sandstone (SST)
98.147,"Fine grained Sandstone with shale lamination ,whitish, ",Raniganj,Sandstone (SST)
102.347,"Fine grained Sandstone with shale lamination ,whitish, ",Raniganj,Sandstone (SST)
102.397,"Fine grained Sandstone with shale lamination ,whitish, ",Raniganj,Sandstone (SST)
103.507,Alterenate Shale and Sandstone,Raniganj,alt
103.917,"Fine grained Sandstone ,whitish",Raniganj,Sandstone (SST)
104.577,Sandy Shale,Raniganj,ss
105.377,Shaly Sandstone,Raniganj,Sandstone (SST)
106.847,Sandy Shale,Raniganj,ss
109.777,Sandy Shale,Raniganj,ss
111.347,"Fine grained Sandstone with shale lamination, whitish",Raniganj,Sandstone (SST)
114.057,"Fine grained Sandstone with shale lamination,whitish, ",Raniganj,Sandstone (SST)
114.097,Grey Shale,Raniganj,gs
115.017,Shaly sandstone with shale band,Raniganj,alt
115.847,"Fine grained Sandstone , greyish white",Raniganj,Sandstone (SST)
116.447,"Fine grained Sandstone , greyish white",Raniganj,Sandstone (SST)
116.937,"Grey Shale ,",Raniganj,gs
117.637,Sandy shale ,Raniganj,ss
119.137,Shaly Sandstone,Raniganj,Sandstone (SST)
119.847,Dark Grey shale,Raniganj,dgs
120.347,Shaly coal with bright band ,Raniganj,coal
121.047,Sandy shale ,Raniganj,ss
123.207,Shaly Sandstone,Raniganj,Sandstone (SST)
124.747,"Fine grained Sandstone , greyish white",Raniganj,Sandstone (SST)
128.847,"Fine grained Sandstone , greyish white",Raniganj,Sandstone (SST)
128.927,"Fine grained Sandstone , greyish white",Raniganj,Sandstone (SST)
129.467,Coal,Raniganj,coal
129.747,Carbonaceous shale,Raniganj,carb shale
130.667,Coal,Raniganj,coal
131.237,Shaly Sandstone,Raniganj,Sandstone (SST)
132.347,Sandy Shale,Raniganj,ss
134.367,Sandy Shale With prominent sand bands,Raniganj,ss
134.917,Grey Shale,Raniganj,gs
135.267,Fine grained Sandstone,Raniganj,Sandstone (SST)
135.397,Shaly Sandstone,Raniganj,Sandstone (SST)
136.847,"Fine to medium grained Sandstone,",Raniganj,Sandstone (SST)
138.317,Medium grained Sandstone ,Raniganj,Sandstone (SST)
139.737,Fine grained Sandstone,Raniganj,Sandstone (SST)
140.027,Dark Grey Shale,Raniganj,dgs
140.257,Coal ( Sub bright),Raniganj,coal
140.407,Shaly Sandstone,Raniganj,Sandstone (SST)
140.847,Sandy Shale,Raniganj,ss
141.247,Shaly Sandstone,Raniganj,Sandstone (SST)
142.047,Fine grained sandstone with shale bands,Raniganj,Sandstone (SST)
142.447,Medium grained sandstone with shale lamination,Raniganj,Sandstone (SST)
142.547,Shaly Sandstone,Raniganj,Sandstone (SST)
143.047,Medium grained Sandstone,Raniganj,Sandstone (SST)
143.147,Shaly Sandstone ,Raniganj,Sandstone (SST)
144.847,Medium grained sandstone with shale streaks,Raniganj,Sandstone (SST)
145.077,Medium grained sandstone ,Raniganj,Sandstone (SST)
